post_id,source_lot,video_type,creator,title,baseline_exists,new_exists,baseline_topic_path,new_topic_path,topic_path_changed,baseline_needs_human_review,new_needs_human_review,needs_human_review_changed,baseline_confidence_score,new_confidence_score,confidence_delta,baseline_transcript_quality_score,new_transcript_quality_score,transcript_quality_delta,new_transcript_quality_status,new_taxonomy_gaps,new_validation_issues
KwZFtY1w8FY,batch_2_amostra_aleatoria,long,CarroChefe,ESPORTIVO RAIZ COM CAMBIO MANUAL! SIMPLESMENTE ANIMAL PENA QUE E CARO - Avaliacao GR Yaris MANUAL,True,True,review_teste__review_veiculo,review_teste,True,True,True,False,0.82,0.92,0.1,0.78,0.82,0.04,usable,,revisao humana exigida por filho: technical_context_needs_review
0YeiiIpSrP0,batch_2_amostra_aleatoria,long,OpiniaoSincera,Novo Jeep Commander HIBRIDO: O que e e como funciona o MHEV? E bom? Gasta menos? Preco problemas,True,True,powertrain__hibrido__sistema_hibrido,powertrain__eletrificados,True,False,False,False,0.85,0.85,0.0,0.88,0.92,0.04,usable,,
KONPXAjlkn8,batch_2_amostra_aleatoria,long,Portimus,T-CROSS E MELHOR QUE CARRO CHINES? OPINIAO DO MECANICO,True,False,mercado_produto__analise_mercado,,False,False,,False,0.82,,,0.75,,,,,
cwQIxaJDJAE,batch_2_amostra_aleatoria,long,garagem do bellote,MOTOS CLASSICAS EM SOCORRO: o Centro Cultural Movimento | Garagem Moto,True,True,fora_escopo,fora_escopo__nao_automotivo,True,False,False,False,0.92,0.95,0.03,0.82,0.85,0.03,usable,,
cLH17x4LiCA,batch_2_amostra_aleatoria,long,stanleyravagnani,NOVO TOYOTA YARIS CROSS XR EM SUA VERSAO DE ENTRADA 2026 | MOSTREI OS PONTOS POSITIVOS E NEGATIVOS!!,True,True,review_teste__review_veiculo,mercado_produto__lancamentos,True,False,False,False,0.85,0.75,-0.1,0.75,0.8,0.05,usable,,
fvt-UH964yA,batch_2_amostra_aleatoria,long,stanleyravagnani,CAOACHERY TIGGO 7 2027 | QUAL VALE MAIS A PENA? | AGORA COM 7 ANOS DE GARANTIA!!,True,True,review_teste__review_veiculo,review_teste__review_veiculo,False,False,False,False,0.82,0.76,-0.06,0.85,0.85,0.0,usable,,
Yel1puu2qGQ,batch_2_amostra_aleatoria,short,AutoPapo,Uma picape nova da Volkswagen nao aparece camuflada por acaso. #Shorts,True,True,mercado_produto__lancamentos,mercado_produto__lancamentos,False,True,True,False,0.92,0.82,-0.1,0.92,0.85,-0.07,usable,,revisao humana exigida por filho: vehicle_entity_needs_review; fallback_whisper_medium_failed: validacao:transcript_quality: transcript_quality.quality_score deve ficar entre 0 e 1
UMEYwVvLsGM,batch_2_amostra_aleatoria,short,Eletricarbr,"+ R$ 30 Milhoes por 2.000 cv, 4 Motores e 0-300 km/h em 9 segundos: Lotus",True,True,mercado_produto__lancamentos,mercado_produto__lancamentos,False,True,True,False,0.88,0.85,-0.03,0.85,0.9,0.05,usable,,revisao humana exigida por filho: vehicle_entity_needs_review
Sth4l0Kc2NY,batch_2_amostra_aleatoria,short,Quatrorodas,ASFALTO BRASILEIRO NA CHINA,True,True,sem_match_taxonomico,manutencao_reparo__manutencao_preventiva__suspensao,True,True,True,False,0.42,0.75,0.33,0.85,0.92,0.07,usable,,revisao humana exigida por filho: technical_context_needs_review
yAytAka2dfg,batch_2_amostra_aleatoria,short,canal da mecanica,"Se voce para de aprender, fica pra tras! #oficina #alinhamento3d #geometriaveicular",True,True,manutencao_reparo__manutencao_preventiva__alinhamento_balanceamento,manutencao_reparo__manutencao_preventiva__alinhamento_balanceamento,False,False,False,False,0.92,0.78,-0.14,0.92,0.8,-0.12,usable,,
R3y-lSe0K4s,batch_3_mvp_novos,long,MEGA DICAS AUTOMOTIVAS,VOCE ESTA SENDO ENGANADO? ESSE SCANNER PROVA O KM VERDADEIRO!,True,True,diagnostico__scanner_obd2,diagnostico__scanner_obd2,False,True,True,False,0.78,0.85,0.07,0.85,0.75,-0.1,usable,,revisao humana exigida por filho: technical_context_needs_review
BrKVhF-oG80,batch_3_mvp_novos,long,MEGA DICAS AUTOMOTIVAS,CARRO CONSUMINDO MUITO E FALHANDO? O FAMOSO RESET DE BATERIA RESOLVE A MARCHA LENTA E SENSORES!,True,True,diagnostico,diagnostico__scanner_obd2,True,True,True,False,0.88,0.82,-0.06,0.85,0.75,-0.1,usable,,revisao humana exigida por filho: technical_context_needs_review
NuLcOS208w0,batch_3_mvp_novos,long,stanleyravagnani,TEST DRIVE E AVALIACAO GWM HAVAL H6 HEV2 2026 | MELHOR HIBRIDO PLENO DA CATEGORIA!!,False,False,,,False,,,False,,,,,,,,,
Xx1TYZnPYK8,batch_3_mvp_novos,long,Meu Carro Life Style,BOTA QUALQUER SUV PRA MAMAR mas NINGUEM QUER SABER! GM CRUZE HATCH TURBO! (Avaliacao),True,True,mercado_produto,review_teste__review_veiculo,True,False,False,False,0.6,0.82,0.22,0.85,0.85,0.0,usable,,
ZspY7eFGJXo,batch_3_mvp_novos,long,Quatrorodas,R$ 159.000: GWM Ora 5 eletrico mira em SUVS A COMBUSTAO e poe irmao em risco,True,True,mercado_produto__lancamentos,mercado_produto__lancamentos__suv,True,True,False,True,0.85,0.85,0.0,0.85,0.75,-0.1,usable,,
fgjijU3h7Cw,batch_3_mvp_novos,long,CarroChefe,Avaliacao RAM Rampage RT - A MAIS RAPIDA E MAIS ESPORTIVA RAMPAGE,False,False,,,False,,,False,,,,,,,,,
DWYtJ3UHTXs,batch_3_mvp_novos,long,canal da mecanica,A TOYOTA NAO VAI GOSTAR DESSE VIDEO.,True,False,diagnostico__direcao_puxando,,False,False,,False,0.8,,,0.75,,,,,
4_qw9-un9D0,batch_3_mvp_novos,long,bfms,ENCONTREI OS MELHORES PROJETOS DE CAMINHONETE DE PALMAS-TO!!,True,True,off_road__suspensao_off_road,off_road__preparacao_off_road,True,True,True,False,0.92,0.75,-0.17,0.85,0.78,-0.07,usable,,revisao humana exigida por filho: technical_context_needs_review
4VPqBe4zjpo,batch_3_mvp_novos,long,DR Auto Mecanica,"ONIX COM 140MIL KM, Troca de Correia, Valvula Termostatica, Vazamentos e Suspensao",True,True,manutencao_reparo__manutencao_preventiva__correias_tensores,manutencao_reparo__manutencao_preventiva__correias_tensores,False,False,True,True,0.82,0.82,0.0,0.75,0.8,0.05,usable,,revisao humana exigida por filho: technical_context_needs_review
FaobcvNYgUc,batch_3_mvp_novos,long,OpiniaoSincera,"Renault SANDERO Stepway Automatico: e BOA COMPRA? Preco, problemas, defeito, avaliacao, review. Vale",True,False,review_teste__review_veiculo,,False,True,,False,0.92,,,0.92,,,,,
9jdCcUr6KDI,batch_3_mvp_novos,short,canal da mecanica,Erro muito comum nos carros da linha Volkswagen #alinhamento #Volkswagen #carros,True,True,diagnostico__direcao_puxando,diagnostico__direcao_puxando,False,True,True,False,0.88,0.82,-0.06,0.87,0.75,-0.12,usable,pivot/disposição do pivô não tem correspondência exata na taxonomia principal; sugere melhoria para capturar problemas de pivô/montagem durante alinhamento.,revisao humana exigida por filho: vehicle_entity_needs_review; fallback_whisper_medium_failed: The read operation timed out
TukIrroE8Z4,batch_3_mvp_novos,short,carroscomtiago,Esse galao de reabastecimento e muito pratico,True,True,mercado_produto__analise_mercado,mercado_produto__analise_mercado,False,False,False,False,0.6,0.6,0.0,0.78,0.85,0.07,usable,,
Bcf0ikE2Aac,batch_3_mvp_novos,short,Eletricarbr,Proxima Aposta dos Chineses: Super Hibridos,True,False,mercado_produto__mercado_chineses,,False,False,,False,0.82,,,0.85,,,,,
4FsnWZmuiQ0,batch_3_mvp_novos,short,CarroChefe,UNICO CARRO MAIS LEGAL QUE UM CIVIC SI,True,True,review_teste__review_veiculo,review_teste__review_veiculo,False,False,True,True,0.85,0.75,-0.1,0.88,0.85,-0.03,usable,,revisao humana exigida por filho: technical_context_needs_review
ouOjW0d1hxw,batch_3_mvp_novos,short,Eletricarbr,UTI de um Hospital nao pode Parar! Torre de Voo tambem nao! Nobreak! E as Baterias?,True,True,fora_escopo__nao_automotivo,fora_escopo,True,False,False,False,0.92,0.92,0.0,0.8,0.9,0.1,usable,,
OlnXxCHKisM,batch_3_mvp_novos,short,OMecaniconline,Novidades da PHINIA direto do Salao do Automovel de Pequim,True,False,mercado_produto__analise_mercado,,False,True,,False,0.75,,,0.85,,,,,
XSkI9I7hEIw,batch_3_mvp_novos,short,Autoesporte,JEEP AVENGER: VEJA A LINHA DE PRODUCAO DO SUV QUE CHEGA EM BREVE!,True,False,mercado_produto__lancamentos,,False,True,,False,0.92,,,0.85,,,,,
PusuX6OzOC0,batch_3_mvp_novos,short,Eletricarbr,Mercedes-Benz Lanca Eletrico de 1.153 cv e Ronco de V8 Simulado,True,True,mercado_produto__lancamentos,mercado_produto__lancamentos,False,True,True,False,0.82,0.82,0.0,0.85,0.78,-0.07,usable,,revisao humana exigida por filho: vehicle_entity_needs_review
VzRl2S0RkPc,batch_3_mvp_novos,short,Quatrorodas,HIBRIDO NA TERRA,True,True,off_road,off_road,False,True,True,False,0.82,0.78,-0.04,0.75,0.92,0.17,usable,,fallback_whisper_medium_failed: topic_path inexistente: off_road__review
5oLUBF-Iu6k,batch_3_mvp_novos,short,autoignicao,SONIC RS 2027,True,True,mercado_produto__lancamentos,mercado_produto__lancamentos,False,True,True,False,0.92,0.82,-0.1,0.86,0.86,0.0,usable,,"revisao humana exigida por filho: technical_context_needs_review; revisao humana exigida por filho: technical_context_needs_review, vehicle_entity_needs_review"
