post_id,source_lot,evaluation_stage,input_evidence_level,automotive_domain,activity_type,topic_path,topic_path_secondary,content_type,audience_intent,vehicle_brand,vehicle_model,year_reference_type,vehicle_year,vehicle_generation,automotive_system,component,problem,confidence_score,evidence_summary,taxonomy_gaps,validation_issues,needs_human_review,model_used,round_id
nKEuKTAX-eA,enriquecimento_45,gpt55_v2_enriquecida_90s,transcript_90s,diagnostico,diagnostico,diagnostico > ruido_suspensao,,tutorial,resolver_problema,,,,,,suspensao,"pivo_suspensao; bieleta; bandeja_suspensao; terminal_axial",ruido,0.96,"Transcript pergunta de onde vem os barulhos do carro e lista pivo de suspensao, bieleta, bandeja e terminal axial.","","Barulho fica como sinal textual; problem canonico e ruido.",false,gpt-5.5_exploratorio_chat,gpt55_taxonomia_v2_enriquecida_20videos_r1
ITBdyKnV5Pg,enriquecimento_45,gpt55_v2_enriquecida_90s,transcript_90s,manutencao_reparo,orcamento,manutencao_reparo > custo_reparo > manutencao_pesada,manutencao_reparo > manutencao_preventiva > cambio_cvt,case,evitar_prejuizo,Honda,HR-V,exact_year,2020,,suspensao; freios; motor; transmissao,"bucha_balanca; disco_freio; oleo_motor; filtro_oleo; vela; cambio_cvt; oleo_cambio; filtro_cambio; carter_cambio","problema_cronico; desgaste; oleo_degradado; limaria",0.93,"Transcript e sobre custo de manutencao pesada no HR-V 2020, incluindo suspensao, freios, oleo/filtros, velas e cambio CVT.","multi_sistema; multi_componentes","Precisa suporte operacional a multiplos sistemas/componentes na matriz futura.",true,gpt-5.5_exploratorio_chat,gpt55_taxonomia_v2_enriquecida_20videos_r1
aXbFPJMVGKw,enriquecimento_45,gpt55_v2_enriquecida_90s,transcript_90s,review_teste,review,review_teste > review_veiculo,mercado_produto > preco_posicionamento > custo_beneficio,review,decidir_compra,Changan,Uni-T,exact_year,2026,,powertrain,"motor_15_turbo_flex; cambio_dupla_embreagem",,0.87,"Transcript apresenta avaliacao do Changan Uni-T com preco competitivo, SUV medio, motorizacao, cambio, acabamento e teste ao volante.","autopilotagem","Motor e cambio entram como contexto de powertrain, nao como topicos soltos.",false,gpt-5.5_exploratorio_chat,gpt55_taxonomia_v2_enriquecida_20videos_r1
nP0q6x1Uqs0,enriquecimento_45,gpt55_v2_enriquecida_90s,transcript_90s,mercado_produto,analise_mercado,mercado_produto > mercado_eletrificados,powertrain > eletrico,review,entender_mercado,BYD,Dolphin,,,,powertrain,bateria_tracao,,0.9,"Transcript discute impacto do BYD Dolphin no mercado brasileiro de eletricos, preco, bateria, autonomia e mudanca de produto.","efeito_dolphin como retorica editorial","Efeito_dolphin nao vira codigo canonico; fica como evidencia narrativa.",false,gpt-5.5_exploratorio_chat,gpt55_taxonomia_v2_enriquecida_20videos_r1
xKNbBoiDt5g,enriquecimento_45,gpt55_v2_enriquecida_90s,transcript_90s,review_teste,review,review_teste > review_veiculo,,entretenimento,entretenimento,Volvo,,,,,,"","",0.72,"Transcript apresenta um Volvo transformado em motorhome/motorcasa, com foco em curiosidade e apresentacao de veiculo especial.","motorhome como tipo de uso/entidade descritiva","Motorhome continua fora da taxonomia canonica; avaliar no futuro se entra como tipo_veiculo ou uso_especial.",true,gpt-5.5_exploratorio_chat,gpt55_taxonomia_v2_enriquecida_20videos_r1
RTZHxSE2t5M,enriquecimento_45,gpt55_v2_enriquecida_90s,transcript_90s,pos_venda_reparacao,analise_mercado,pos_venda_reparacao > gargalo_oficinas,pos_venda_reparacao > pecas_reposicao,opiniao,entender_mercado,,,,,,,"","",0.94,"Transcript discute gargalo de reparacao para carros chineses, eletrificados e hibridos, disponibilidade de pecas, oficinas, SKD/CKD e nacionalizacao.","carros_chineses como recorte de mercado","Nao preencher sistema tecnico porque o foco e setorial, nao um veiculo especifico.",false,gpt-5.5_exploratorio_chat,gpt55_taxonomia_v2_enriquecida_20videos_r1
3AjI62lO8b8,enriquecimento_45,gpt55_v2_enriquecida_90s,transcript_90s,mercado_produto,lancamento,mercado_produto > lancamentos > suv,powertrain > hibrido > plug_in,noticia,acompanhar_lancamento,GWM,Haval H7,exact_year,2026,,powertrain,sistema_hibrido_plug_in,,0.92,"Transcript apresenta lancamento futuro do GWM Haval H7 2026, SUV de 5 lugares, hibrido plug-in, preco abaixo de 300 mil e pegada off-road.","4x4 como sinal textual; off_road como contexto","Nao promover 4x4; off-road e contexto secundario possivel, mas lancamento SUV e o tema principal.",false,gpt-5.5_exploratorio_chat,gpt55_taxonomia_v2_enriquecida_20videos_r1
6qSnrkGd70I,enriquecimento_45,gpt55_v2_enriquecida_90s,transcript_90s,manutencao_reparo,manutencao_preventiva,manutencao_reparo > manutencao_preventiva > arrefecimento,,tutorial,aprender_manutencao,,,,,,arrefecimento,"fluido_arrefecimento; aditivo_arrefecimento; limpa_radiador; filtro_arrefecimento","sistema_sujo; fluido_vencido",0.95,"Transcript mostra troca de fluido de arrefecimento, lavagens, limpa radiador, aditivo velho, filtro e drenagem.","","Nao inferir superaquecimento porque o video mostra manutencao/limpeza, nao falha termica.",false,gpt-5.5_exploratorio_chat,gpt55_taxonomia_v2_enriquecida_20videos_r1
Ffmnzmm4Sf8,enriquecimento_45,gpt55_v2_enriquecida_90s,transcript_90s,mercado_produto,analise_mercado,mercado_produto > preco_posicionamento > custo_beneficio,manutencao_reparo > manutencao_preventiva > pneus,ranking,decidir_compra,,,,,,pneus,pneu,"custo_beneficio; aderencia; durabilidade; conforto; resistencia",0.91,"Transcript recomenda marcas/linhas de pneus por preco baixo sem abrir mao de qualidade, resistencia, conforto, durabilidade e aderencia.","aro_13_17 como filtro comercial futuro","Aro citado deve ser atributo/filtro futuro, nao topic_path canonico agora.",false,gpt-5.5_exploratorio_chat,gpt55_taxonomia_v2_enriquecida_20videos_r1
uZVDGJXqrgU,enriquecimento_45,gpt55_v2_enriquecida_90s,transcript_90s,manutencao_reparo,manutencao_preventiva,manutencao_reparo > manutencao_preventiva > suspensao,,tutorial,resolver_problema,Hyundai,Creta,,,,suspensao,"mola; amortecedor","trepidacao; batida_seca; carro_desconfortavel",0.92,"Transcript mostra instalacao de Retani Buffer nas molas do Creta para reduzir trepidacao, batida seca, fim de curso e melhorar conforto/estabilidade.","Retani_Buffer como produto/insumo","Produto especifico nao vira codigo canonico nesta rodada.",false,gpt-5.5_exploratorio_chat,gpt55_taxonomia_v2_enriquecida_20videos_r1
