post_id,evaluation_stage,input_evidence_level,input_description_status,automotive_domain,activity_type,topic_path,topic_path_secondary,content_type,audience_intent,vehicle_brand,vehicle_model,year_reference_type,vehicle_year,vehicle_generation,automotive_system,component,problem,confidence_score,evidence_summary,taxonomy_gaps,validation_issues,needs_human_review,model_used,round_id
PpjLnq8mv50,descricao,titulo_metadados,ausente,review_teste,review,review_teste > review_veiculo,mercado_produto > compra_venda,review,decidir_compra,Honda,WR-V,,,,powertrain,,consumo,0.93,"Titulo indica 7 motivos para comprar o novo Honda WR-V, consumo real e avaliacao.","motivos_para_comprar; consumo_real","Consumo no titulo e criterio de review, nao falha/problema.",false,gpt-5.5_exploratorio_chat,review_novos_usados_r1
PpjLnq8mv50,transcricao_90s,transcript_90s,ausente,review_teste,review,review_teste > review_veiculo,mercado_produto > compra_venda,review,decidir_compra,Honda,WR-V,,,,powertrain,"motor_15_flex; cambio_cvt; tracao_dianteira",,0.96,"Transcript confirma review do novo Honda WR-V, com 7 motivos de compra, motor 1.5 aspirado flex, cambio CVT, tracao dianteira, airbags, garantia e economia.","motivos_para_comprar; garantia; consumo_real","Garantia e motivo de compra sao atributos comerciais/editoriais futuros.",false,gpt-5.5_exploratorio_chat,review_novos_usados_r1
x8kFKNMFsg0,descricao,titulo_metadados,ausente,review_teste,review,review_teste > review_veiculo,review_teste > comparativo,review,decidir_compra,Hyundai,i20,exact_year,2027,,powertrain,,,0.92,"Titulo indica novo Hyundai i20 2027, vale a pena e comparacao com Tera.","comparativo_leve; carro_novo","Descricao real ausente; title nao confirma teste ao volante.",false,gpt-5.5_exploratorio_chat,review_novos_usados_r1
x8kFKNMFsg0,transcricao_90s,transcript_90s,ausente,review_teste,review,review_teste > review_veiculo,review_teste > comparativo,review,decidir_compra,Hyundai,i20,exact_year,2027,,powertrain,"motor; espaco_interno; acabamento; equipamentos",,0.96,"Transcript confirma review do novo Hyundai i20, posicionamento entre HB20 e Creta, comparacao com Pulse/Tera, motorizacao, espaco, acabamento, equipamentos e teste na pista.","posicionamento_de_linha; comparativo_leve","Comparacao e posicionamento de linha poderiam ser atributos secundarios estruturados.",false,gpt-5.5_exploratorio_chat,review_novos_usados_r1
CJloy4kzRA8,descricao,titulo_metadados,ausente,review_teste,review,review_teste > review_veiculo,powertrain > hibrido,review,decidir_compra,Jeep,Renegade,,,,powertrain,sistema_hibrido,,0.93,"Titulo explicita avaliacao do novo Renegade hibrido e promessa de pontos melhores e piores.","hibrido_leve; pontos_positivos_negativos","Ano nao explicito no titulo.",false,gpt-5.5_exploratorio_chat,review_novos_usados_r1
CJloy4kzRA8,transcricao_90s,transcript_90s,ausente,review_teste,review,review_teste > review_veiculo,powertrain > hibrido,review,entender_powertrain,Jeep,Renegade,exact_year,2027,,powertrain,"sistema_hibrido_leve; motor; consumo",,0.97,"Transcript confirma review do Jeep Renegade hibrido leve linha 2027, com foco em economia, funcionamento do sistema hibrido, motorizacao, consumo, interior e teste ao volante.","hibrido_leve; linha_modelo","Ano aparece como linha 2027; validar contra catalogo antes de usar como model_year canonico.",true,gpt-5.5_exploratorio_chat,review_novos_usados_r1
-9Ggzcf1cFM,descricao,titulo_metadados,ausente,review_teste,review,review_teste > review_veiculo,mercado_produto > lancamentos,review,decidir_compra,Audi,Q5,exact_year,2026,,powertrain,,,0.94,"Titulo explicita novo Audi Q5 2026 e avaliacao.","suv_premium","Descricao real ausente.",false,gpt-5.5_exploratorio_chat,review_novos_usados_r1
-9Ggzcf1cFM,transcricao_90s,transcript_90s,ausente,review_teste,review,review_teste > review_veiculo,mercado_produto > lancamentos,review,decidir_compra,Audi,Q5,exact_year,2026,,powertrain,"tracao_integral; tecnologia_embarcada",,0.97,"Transcript confirma review do novo Audi Q5 2026, SUV premium com tracao integral, interior luxuoso, novas tecnologias, tela do passageiro, preco alto e teste ao volante.","suv_premium; tracao_integral; tecnologia_embarcada","Tracao integral e tecnologia embarcada ainda nao estao bem modeladas como contexto tecnico/atributo.",false,gpt-5.5_exploratorio_chat,review_novos_usados_r1
3gJE2PN7970,descricao,titulo_metadados,ausente,review_teste,review,review_teste > review_veiculo,powertrain > hibrido,review,decidir_compra,BYD,Song Pro,exact_year,2026,,powertrain,sistema_hibrido,,0.94,"Titulo explicita avaliacao do novo BYD Song Pro 2026 e sinal de modelo mais vendido da BYD.","hibrido_plug_in; mais_vendido","Descricao real ausente.",false,gpt-5.5_exploratorio_chat,review_novos_usados_r1
3gJE2PN7970,transcricao_90s,transcript_90s,ausente,review_teste,review,review_teste > review_veiculo,powertrain > hibrido,review,decidir_compra,BYD,Song Pro,exact_year,2026,,powertrain,"sistema_hibrido; motor_15_aspirado; bateria_tracao",,0.97,"Transcript confirma review do BYD Song Pro GS 2026, SUV vendido no Brasil, comparacao com Haval e Jaecoo, motor 1.5 aspirado mais bateria e ausencia de carga rapida.","hibrido_sem_carga_rapida; comparativo_leve","Carga rapida e arquitetura hibrida precisam de vocabulario controlado em powertrain.",false,gpt-5.5_exploratorio_chat,review_novos_usados_r1
