"post_id","evaluation_stage","input_evidence_level","input_description_status","automotive_domain","activity_type","topic_path","content_type","audience_intent","vehicle_brand","vehicle_model","year_reference_type","vehicle_year","vehicle_generation","automotive_system","component","problem","confidence_score","evidence_summary","taxonomy_gaps","validation_issues","needs_human_review","model_used","round_id"
"pINW53ErjQI","gpt55_v2_entrega_2_90s_iniciais","transcript_whisper_90s","ausente","fora_escopo","alerta","fora_escopo > transito_comportamento","alerta","evitar_prejuizo","","","","","","","","","0.95","Transcript mostra narrativa de golpe/conflito de transito; carro, documento, arrefecimento e marcha aparecem como detalhes incidentais.","fora_escopo_automotivo; narrativa_transito; golpe_transito","nao classificar radiador, arrefecimento ou cambio como tema porque sao mencoes incidentais","false","gpt-5.5_exploratorio_chat","gpt55_taxonomia_v2_r1"
"_j1gOOnjgcU","gpt55_v2_entrega_2_90s_iniciais","transcript_whisper_90s","ausente","manutencao_reparo","manutencao_preventiva","manutencao_reparo > manutencao_preventiva > limpeza_componentes","tutorial","aprender_manutencao","","","","","","eletrica_eletronica","bateria_12v; sensor_oxigenio; sensor_maf; vela","consumo_alto","0.89","Transcript lista quatro manutencoes simples: polos da bateria, sonda lambda, sensor MAF e velas, com promessa de economia e durabilidade do motor.","multi_componentes; sensor_maf; sonda_lambda; vela","componentes atravessam eletrica_eletronica e motor; exige matriz de compatibilidade e possivel suporte a multiplos sistemas","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_v2_r1"
"z55GnDEg7_U","gpt55_v2_entrega_2_90s_iniciais","transcript_whisper_90s","ausente","manutencao_reparo","reparo_corretivo","manutencao_reparo > reparo_corretivo > troca_motor","case","evitar_prejuizo","Renault","Kwid","exact_year","2021","","motor","motor_conjunto","falha_de_motor","0.94","Transcript acompanha Renault Kwid 2021 com luz de injecao, funcionamento irregular, desmontagem, carbonizacao, desgaste e decisao entre retifica ou troca do motor.","orcamento_reparo; retifica_motor; embreagem","diagnostico aparece como evidencia dentro do reparo, nao como dominio principal","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_v2_r1"
"CjFrJg6VCjc","gpt55_v2_entrega_2_90s_iniciais","transcript_whisper_90s","ausente","review_teste","teste","review_teste > teste_autonomia","review","entender_powertrain","BYD","Dolphin Mini","exact_year","2026","","powertrain","bateria_tracao","autonomia_baixa","0.94","Transcript testa autonomia do BYD Dolphin Mini 2026 com bateria a 100%, modo eco e regeneracao.","consumo_energia; regeneracao","problema autonomia_baixa e hipotese de teste, nao falha comprovada; revisar se problem deve ficar vazio em testes","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_v2_r1"
"nP0q6x1Uqs0","gpt55_v2_entrega_2_90s_iniciais","transcript_whisper_90s","ausente","mercado_produto","analise_mercado","mercado_produto > mercado_eletrificados","opiniao","acompanhar_lancamento","BYD","Dolphin","","","","powertrain","bateria_tracao","","0.91","Transcript analisa o efeito Dolphin no mercado brasileiro de eletricos, preco, bateria, autonomia e garantia.","efeito_dolphin; garantia_bateria; consumo_energia; preco_veiculo","Dolphin e Dolphin Mini aparecem na fala; modelo/versao precisa de normalizacao futura","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_v2_r1"
"JGzj254Kgs4","gpt55_v2_entrega_2_90s_iniciais","transcript_whisper_90s","ausente","review_teste","review","review_teste > review_veiculo","opiniao","decidir_compra","Changan","Lumin","","","","powertrain","motor_eletrico","","0.89","Transcript apresenta o Changan Lumin como carro urbano 100% eletrico, zero km e barato, com foco em proposta de uso e decisao de compra.","carro_urbano_eletrico; preco_baixo; microcarro; proposta_de_uso","dominio alternativo mercado_produto > compra_venda tambem e defensavel; V2 precisa de topic_path secundario ou regra de dominancia","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_v2_r1"
"6qSnrkGd70I","gpt55_v2_entrega_2_90s_iniciais","transcript_whisper_90s","ausente","manutencao_reparo","manutencao_preventiva","manutencao_reparo > manutencao_preventiva > arrefecimento","tutorial","aprender_manutencao","","","","","","arrefecimento","radiador; fluido_arrefecimento","sistema_sujo","0.96","Transcript mostra troca de fluido de arrefecimento, limpa radiador, drenagens e preparacao para agua correta.","agua_desmineralizada; limpa_radiador; sistema_sujo","problem sistema_sujo precisa ser canonizado ou ficar como detalhe livre; nao inferir superaquecimento","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_v2_r1"
"aXbFPJMVGKw","gpt55_v2_entrega_2_90s_iniciais","transcript_whisper_90s","ausente","review_teste","review","review_teste > review_veiculo","review","decidir_compra","Changan","Uni-T","exact_year","2026","","powertrain","cambio_dupla_embreagem","","0.93","Transcript apresenta avaliacao do Changan Uni-T com preco, acabamento, autopilotagem, motor 1.5 turbo flex e cambio de dupla embreagem.","suv_medio; motor_15_turbo_flex; autopilotagem; preco_comparativo","component cambio_dupla_embreagem pertence a transmissao/powertrain, mas nao e problema; motor flex e detalhe de powertrain","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_v2_r1"
"RTZHxSE2t5M","gpt55_v2_entrega_2_90s_iniciais","transcript_whisper_90s","ausente","pos_venda_reparacao","analise_mercado","pos_venda_reparacao > gargalo_oficinas","opiniao","entender_mercado","","","","","","powertrain","","","0.92","Transcript discute importados chineses, eletrificados e hibridos, nacionalizacao SKD/CKD, falta de pecas e gargalo de reparacao.","mercado_chineses; eletrificados; hibridos; pecas_reposicao; skd_ckd; ckd","powertrain aparece como contexto de frota, nao como sistema tecnico de um veiculo especifico","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_v2_r1"
"UtWYJfldWHA","gpt55_v2_entrega_2_90s_iniciais","transcript_whisper_90s","ausente","mercado_produto","lancamento","mercado_produto > lancamentos","review","acompanhar_lancamento","Caoa Changan","Uni-T","","","","powertrain","","","0.92","Transcript apresenta estreia da Caoa Changan no Brasil, estrategia de longo prazo, Uni-T nacional, motor a combustao flex e tropicalizacao.","marca_chinesa_estreia; nacionalizacao; tropicalizacao; motor_flex","review e lancamento coexistem sem conflito na V2; flex fica em powertrain/contexto tecnico","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_v2_r1"
