dimension,code,label_pt,parent_code,description,example_signals,allowed_in_pilot
content_type,case,Case,,Formato de caso real ou estudo de caso,"caso real, cliente, oficina, aconteceu",true
audience_intent,resolver_problema,Resolver problema,,Intencao principal de corrigir uma falha ou entender um defeito,"falha, defeito, conserto, erro",true
audience_intent,evitar_prejuizo,Evitar prejuizo,,Intencao principal de prevenir gasto ou dano,"nao compre, cuidado, prejuizo, problema caro",true
audience_intent,aprender_manutencao,Aprender manutencao,,Intencao principal de aprender manutencao ou procedimento,"como trocar, manutencao, revisao",true
audience_intent,decidir_compra,Decidir compra,,Intencao principal de escolher um carro ou configuracao,"vale a pena, qual comprar, melhor opcao",true
audience_intent,comparar_opcoes,Comparar opcoes,,Intencao principal de comparar alternativas,"versus, comparativo, melhor entre",true
audience_intent,acompanhar_lancamento,Acompanhar lancamento,,Intencao principal de acompanhar novidades do mercado,"lancamento, novo modelo, novidade",true
audience_intent,entender_powertrain,Entender powertrain,,Intencao principal de entender motorizacao e propulsao,"eletrico, hibrido, diesel, flex",true
audience_intent,entender_mercado,Entender mercado,,Intencao principal de entender comportamento de mercado,"mercado, vendas, emplacamento, usados",true
audience_intent,entretenimento,Entretenimento,,Intencao principal de consumo leve ou curiosidade,"curiosidade, divertido, historia",true
