"context_id","post_id","source_lot","context_order","topic_path","topic_path_secondary","automotive_system","component","problem","context_role","evidence_text","compatibility_status","validation_issue","needs_human_review","round_id"
"tc_014","6qSnrkGd70I","piloto_38","3","manutencao_reparo > manutencao_preventiva > arrefecimento","","arrefecimento","limpa_radiador","sistema_sujo","supporting","Uso de limpa radiador com drenagens para eliminar espuma e sujeira.","allowed_with_evidence","","false","gpt55_taxonomia_v2_enriquecida_20videos_r1"
"tc_015","6qSnrkGd70I","piloto_38","4","manutencao_reparo > manutencao_preventiva > arrefecimento","","arrefecimento","filtro_arrefecimento","sistema_sujo","supporting","Instalacao de filtro de vidro no processo de limpeza do arrefecimento.","allowed_with_evidence","","false","gpt55_taxonomia_v2_enriquecida_20videos_r1"
"tc_016","aXbFPJMVGKw","piloto_38","1","review_teste > review_veiculo","mercado_produto > preco_posicionamento > custo_beneficio","powertrain","motor_15_turbo_flex","","primary","Review cita motor 1.5 turbo como atributo de desempenho do Changan Uni-T.","allowed_with_evidence","","false","gpt55_taxonomia_v2_enriquecida_20videos_r1"
"tc_017","aXbFPJMVGKw","piloto_38","2","review_teste > review_veiculo","mercado_produto > preco_posicionamento > custo_beneficio","powertrain","cambio_dupla_embreagem","","supporting","Review anuncia que vai falar de motorizacao e cambio no teste do veiculo.","allowed_with_evidence","","false","gpt55_taxonomia_v2_enriquecida_20videos_r1"
"tc_018","RTZHxSE2t5M","piloto_38","1","pos_venda_reparacao > gargalo_oficinas","pos_venda_reparacao > pecas_reposicao","","","","incidental","O foco e setorial sobre pecas, oficinas, reparacao, SKD, CKD e nacionalizacao, sem veiculo especifico para contexto tecnico.","not_applicable","Nao preencher sistema tecnico de veiculo especifico em analise setorial.","false","gpt55_taxonomia_v2_enriquecida_20videos_r1"
"tc_019","UtWYJfldWHA","piloto_38","1","mercado_produto > lancamentos","review_teste > review_veiculo","powertrain","motor_flex","","primary","Lancamento da Caoa Changan Uni-T cita motor flex e tropicalizacao para o mercado brasileiro.","allowed_with_evidence","","false","gpt55_taxonomia_v2_enriquecida_20videos_r1"
"tc_020","nKEuKTAX-eA","enriquecimento_45","1","diagnostico > ruido_suspensao","","suspensao","pivo_suspensao","ruido","primary","Video pergunta de onde vem o barulho e lista pivo de suspensao.","allowed_with_evidence","","false","gpt55_taxonomia_v2_enriquecida_20videos_r1"
"tc_021","nKEuKTAX-eA","enriquecimento_45","2","diagnostico > ruido_suspensao","","suspensao","bieleta","ruido","supporting","Video lista bieleta como origem possivel de barulho no carro.","allowed_with_evidence","","false","gpt55_taxonomia_v2_enriquecida_20videos_r1"
"tc_022","nKEuKTAX-eA","enriquecimento_45","3","diagnostico > ruido_suspensao","","suspensao","bandeja_suspensao","ruido","supporting","Video lista bandeja da suspensao como origem possivel de barulho.","allowed_with_evidence","","false","gpt55_taxonomia_v2_enriquecida_20videos_r1"
"tc_023","nKEuKTAX-eA","enriquecimento_45","4","diagnostico > ruido_suspensao","","suspensao","terminal_axial","ruido","supporting","Video lista terminal axial como origem possivel de barulho.","allowed_with_evidence","","false","gpt55_taxonomia_v2_enriquecida_20videos_r1"
"tc_024","ITBdyKnV5Pg","enriquecimento_45","1","manutencao_reparo > manutencao_preventiva > suspensao","manutencao_reparo > custo_reparo > manutencao_pesada","suspensao","bucha_balanca","ruido","primary","Manutencao pesada com troca de buchas de balanca traseiras citadas como problema cronico do HR-V.","allowed_with_evidence","Problem ruido e aproximacao pela matriz atual, mas evidencia direta fala problema cronico e durabilidade.","true","gpt55_taxonomia_v2_enriquecida_20videos_r1"
"tc_025","ITBdyKnV5Pg","enriquecimento_45","2","manutencao_reparo > manutencao_preventiva > freios","manutencao_reparo > custo_reparo > manutencao_pesada","freios","disco_freio","desgaste","supporting","Video mostra retifica dos dois discos dianteiros durante manutencao pesada.","allowed_with_evidence","","true","gpt55_taxonomia_v2_enriquecida_20videos_r1"
"tc_026","ITBdyKnV5Pg","enriquecimento_45","3","manutencao_reparo > manutencao_preventiva > oleo_filtros","manutencao_reparo > custo_reparo > manutencao_pesada","motor","oleo_motor","oleo_vencido","supporting","Manutencao inclui troca de oleo do motor.","allowed_with_evidence","","true","gpt55_taxonomia_v2_enriquecida_20videos_r1"
"tc_027","ITBdyKnV5Pg","enriquecimento_45","4","manutencao_reparo > manutencao_preventiva > oleo_filtros","manutencao_reparo > custo_reparo > manutencao_pesada","motor","filtro_oleo","desgaste","supporting","Manutencao inclui troca de todos os filtros do carro junto com oleo do motor.","allowed_with_evidence","","true","gpt55_taxonomia_v2_enriquecida_20videos_r1"
"tc_028","ITBdyKnV5Pg","enriquecimento_45","5","manutencao_reparo > manutencao_preventiva > velas_ignicao","manutencao_reparo > custo_reparo > manutencao_pesada","motor","vela","desgaste","supporting","Quatro velas foram trocadas por desgaste.","allowed_with_evidence","","true","gpt55_taxonomia_v2_enriquecida_20videos_r1"
"tc_029","ITBdyKnV5Pg","enriquecimento_45","6","manutencao_reparo > manutencao_preventiva > cambio_cvt","manutencao_reparo > custo_reparo > manutencao_pesada","transmissao","cambio_cvt","oleo_degradado","supporting","Troca de oleo da caixa automatica CVT com teste de viscosidade do oleo velho.","allowed_with_evidence","","true","gpt55_taxonomia_v2_enriquecida_20videos_r1"
"tc_030","ITBdyKnV5Pg","enriquecimento_45","7","manutencao_reparo > manutencao_preventiva > cambio_cvt","manutencao_reparo > custo_reparo > manutencao_pesada","transmissao","filtro_cambio","limaria","supporting","Video troca filtro do carter e filtro do trocador de calor do cambio CVT.","allowed_with_evidence","","true","gpt55_taxonomia_v2_enriquecida_20videos_r1"
"tc_031","ITBdyKnV5Pg","enriquecimento_45","8","manutencao_reparo > manutencao_preventiva > cambio_cvt","manutencao_reparo > custo_reparo > manutencao_pesada","transmissao","carter_cambio","limaria","supporting","Carter do cambio tem imas com limalia antes da limpeza e montagem.","allowed_with_evidence","","true","gpt55_taxonomia_v2_enriquecida_20videos_r1"
"tc_032","aXbFPJMVGKw","enriquecimento_45","1","review_teste > review_veiculo","mercado_produto > preco_posicionamento > custo_beneficio","powertrain","motor_15_turbo_flex","","primary","Review cita motor 1.5 turbo como atributo de desempenho do Changan Uni-T.","allowed_with_evidence","","false","gpt55_taxonomia_v2_enriquecida_20videos_r1"
"tc_033","aXbFPJMVGKw","enriquecimento_45","2","review_teste > review_veiculo","mercado_produto > preco_posicionamento > custo_beneficio","powertrain","cambio_dupla_embreagem","","supporting","Review anuncia que vai falar de motorizacao e cambio no teste do veiculo.","allowed_with_evidence","","false","gpt55_taxonomia_v2_enriquecida_20videos_r1"
"tc_034","nP0q6x1Uqs0","enriquecimento_45","1","mercado_produto > mercado_eletrificados","powertrain > eletrico","powertrain","bateria_tracao","","primary","Discussao de mercado de eletricos com BYD Dolphin, preco, bateria e autonomia.","allowed_with_evidence","","false","gpt55_taxonomia_v2_enriquecida_20videos_r1"
"tc_035","xKNbBoiDt5g","enriquecimento_45","1","review_teste > review_veiculo","","","","","incidental","Video apresenta um Volvo transformado em motorhome, mas motorhome segue como tipo de uso descritivo fora da taxonomia tecnica.","needs_review","Falta contrato futuro para vehicle_use_type ou uso_especial e nao ha regra not_applicable no CSV 43 para review sem contexto tecnico.","true","gpt55_taxonomia_v2_enriquecida_20videos_r1"
"tc_036","RTZHxSE2t5M","enriquecimento_45","1","pos_venda_reparacao > gargalo_oficinas","pos_venda_reparacao > pecas_reposicao","","","","incidental","O foco e setorial sobre pecas, oficinas, reparacao, SKD, CKD e nacionalizacao, sem veiculo especifico para contexto tecnico.","not_applicable","Nao preencher sistema tecnico de veiculo especifico em analise setorial.","false","gpt55_taxonomia_v2_enriquecida_20videos_r1"
"tc_037","3AjI62lO8b8","enriquecimento_45","1","mercado_produto > lancamentos > suv","powertrain > hibrido > plug_in","powertrain","sistema_hibrido_plug_in","","primary","Lancamento do GWM Haval H7 2026 cita SUV hibrido plug-in abaixo de 300 mil reais.","allowed_with_evidence","","false","gpt55_taxonomia_v2_enriquecida_20videos_r1"
"tc_038","6qSnrkGd70I","enriquecimento_45","1","manutencao_reparo > manutencao_preventiva > arrefecimento","","arrefecimento","fluido_arrefecimento","sistema_sujo","primary","Procedimento de troca do fluido de arrefecimento e lavagem do sistema.","allowed_with_evidence","","false","gpt55_taxonomia_v2_enriquecida_20videos_r1"
"tc_039","6qSnrkGd70I","enriquecimento_45","2","manutencao_reparo > manutencao_preventiva > arrefecimento","","arrefecimento","aditivo_arrefecimento","fluido_vencido","supporting","Aditivo velho foi retirado antes da limpeza e troca do sistema.","allowed_with_evidence","","false","gpt55_taxonomia_v2_enriquecida_20videos_r1"
"tc_040","6qSnrkGd70I","enriquecimento_45","3","manutencao_reparo > manutencao_preventiva > arrefecimento","","arrefecimento","limpa_radiador","sistema_sujo","supporting","Uso de limpa radiador com drenagens para eliminar espuma e sujeira.","allowed_with_evidence","","false","gpt55_taxonomia_v2_enriquecida_20videos_r1"
"tc_041","6qSnrkGd70I","enriquecimento_45","4","manutencao_reparo > manutencao_preventiva > arrefecimento","","arrefecimento","filtro_arrefecimento","sistema_sujo","supporting","Instalacao de filtro de vidro no processo de limpeza do arrefecimento.","allowed_with_evidence","","false","gpt55_taxonomia_v2_enriquecida_20videos_r1"
"tc_042","Ffmnzmm4Sf8","enriquecimento_45","1","mercado_produto > preco_posicionamento > custo_beneficio","manutencao_reparo > manutencao_preventiva > pneus","pneus","pneu","custo_beneficio","primary","Video recomenda pneus por preco baixo sem abrir mao de qualidade.","allowed_with_evidence","","false","gpt55_taxonomia_v2_enriquecida_20videos_r1"
"tc_043","Ffmnzmm4Sf8","enriquecimento_45","2","manutencao_reparo > manutencao_preventiva > pneus","mercado_produto > preco_posicionamento > custo_beneficio","pneus","pneu","aderencia","supporting","Transcript promete boa aderencia nos pneus recomendados.","allowed_with_evidence","","false","gpt55_taxonomia_v2_enriquecida_20videos_r1"
"tc_044","Ffmnzmm4Sf8","enriquecimento_45","3","manutencao_reparo > manutencao_preventiva > pneus","mercado_produto > preco_posicionamento > custo_beneficio","pneus","pneu","durabilidade","supporting","Transcript promete durabilidade nos pneus recomendados.","allowed_with_evidence","","false","gpt55_taxonomia_v2_enriquecida_20videos_r1"
"tc_045","Ffmnzmm4Sf8","enriquecimento_45","4","manutencao_reparo > manutencao_preventiva > pneus","mercado_produto > preco_posicionamento > custo_beneficio","pneus","pneu","conforto","supporting","Transcript promete conforto para rodar com os pneus recomendados.","allowed_with_evidence","","false","gpt55_taxonomia_v2_enriquecida_20videos_r1"
"tc_046","Ffmnzmm4Sf8","enriquecimento_45","5","manutencao_reparo > manutencao_preventiva > pneus","mercado_produto > preco_posicionamento > custo_beneficio","pneus","pneu","resistencia","supporting","Transcript promete resistencia para ruas ruins e impactos.","allowed_with_evidence","","false","gpt55_taxonomia_v2_enriquecida_20videos_r1"
"tc_047","uZVDGJXqrgU","enriquecimento_45","1","manutencao_reparo > manutencao_preventiva > suspensao","","suspensao","mola","batida_seca","primary","Instalacao de Retani Buffer nas molas para reduzir trepidacao e batida seca.","allowed_with_evidence","","false","gpt55_taxonomia_v2_enriquecida_20videos_r1"
"tc_048","uZVDGJXqrgU","enriquecimento_45","2","manutencao_reparo > manutencao_preventiva > suspensao","","suspensao","amortecedor","carro_desconfortavel","supporting","Produto promete proteger fim de curso entre amortecedor e mola e melhorar conforto.","allowed_with_evidence","","false","gpt55_taxonomia_v2_enriquecida_20videos_r1"
