id,run_id,post_id,evaluation_stage,input_evidence_level,automotive_domain,activity_type,topic_path,topic_path_secondary,content_type,audience_intent,confidence_score,evidence_summary,taxonomy_gaps,validation_issues,needs_human_review,model_used,prompt_contract_version,output_schema_version,created_at,transcript_quality_score,transcript_quality_status,transcript_quality_issues,transcript_quality_impact,needs_retranscription
208,49,cLH17x4LiCA,transcript_90s,transcript_90s,mercado_produto,lancamento,mercado_produto__lancamentos,,,acompanhar_lancamento,0.75,"Proposta principal: lançamento da versão XR de entrada do Toyota Yaris Cross (2026); conteúdo centrado em anúncio e mercado, não diagnósticos ou manutenção.",,,False,gpt-5-nano,video_taxonomy_v2_classifier_r2,video_taxonomy_v2_output_schema_r2,2026-08-06T16:29:03.201155+00:00,0.8,usable,,none,False
204,49,cwQIxaJDJAE,transcript_90s,transcript_90s,fora_escopo,educativo,fora_escopo__nao_automotivo,,educativo,entretenimento,0.95,"Transcrição aborda motos/clássicas no Centro Cultural Movimento, foco em cultura/duas rodas, não há diagnóstico, manutenção, ou tecnologia automotiva.",,,False,gpt-5-nano,video_taxonomy_v2_classifier_r2,video_taxonomy_v2_output_schema_r2,2026-08-06T16:12:28.147475+00:00,0.85,usable,,none,False
211,49,fvt-UH964yA,transcript_90s,transcript_90s,review_teste,review,review_teste__review_veiculo,,review,comparar_opcoes,0.76,Transcript foca na comparação entre versões do Tiggo 7 (inclui menção à híbrido plug-in); não há conteúdo de diagnóstico ou reparo; foco principal é avaliação/variações do veículo.,,,False,gpt-5-nano,video_taxonomy_v2_classifier_r2,video_taxonomy_v2_output_schema_r2,2026-08-06T16:46:23.473699+00:00,0.85,usable,,none,False
197,49,KwZFtY1w8FY,transcript_90s,transcript_90s,review_teste,review,review_teste,,review,decidir_compra,0.92,GR Yaris manual; motor 1.6 turbo; AWD; duas portas; comparação entre manual e automático; foco em motorização e experiência de condução.,,revisao humana exigida por filho: technical_context_needs_review,True,gpt-5-nano,video_taxonomy_v2_classifier_r2,video_taxonomy_v2_output_schema_r2,2026-08-06T15:46:19.152877+00:00,0.82,usable,incoherent,low,False
218,49,nP0q6x1Uqs0,transcript_90s,transcript_90s,mercado_produto,lancamento,mercado_produto__lancamentos,,opiniao,entender_mercado,0.82,"Fala sobre o lançamento do BYD Dolphin SE, preço de 159 mil, Dolphin Mini e impacto no mercado brasileiro de EVs; referências a autonomia/custo-benefício e comparação com concorrentes.",,"revisao humana exigida por filho: technical_context_needs_review; revisao humana exigida por filho: technical_context_needs_review, vehicle_entity_needs_review",True,gpt-5-nano,video_taxonomy_v2_classifier_r2,video_taxonomy_v2_output_schema_r2,2026-08-06T17:17:51.989122+00:00,0.85,usable,,none,False
224,49,ouOjW0d1hxw,transcript_90s,transcript_90s,fora_escopo,nao_aplicavel,fora_escopo,,,,0.92,"Transcrição descreve no-break/UPS, baterias e geração de energia reserva para aplicações críticas (hospital, torre de controle), sem conteúdo relacionado a automóveis.",,,False,gpt-5-nano,video_taxonomy_v2_classifier_r2,video_taxonomy_v2_output_schema_r2,2026-08-06T17:44:09.192421+00:00,0.9,usable,,none,False
200,49,pINW53ErjQI,transcript_90s,transcript_90s,fora_escopo,alerta,fora_escopo,,alerta,,0.92,"Video descreve golpe no trânsito, perseguição entre motoristas e condução perigosa; não há conteúdo técnico automotivo principal.",,,False,gpt-5-nano,video_taxonomy_v2_classifier_r2,video_taxonomy_v2_output_schema_r2,2026-08-06T15:56:09.252899+00:00,0.85,usable,,none,False
219,49,PusuX6OzOC0,transcript_90s,transcript_90s,mercado_produto,lancamento,mercado_produto__lancamentos,,educativo,acompanhar_lancamento,0.82,"Transcrição descreve o lançamento de um veículo elétrico de alta performance da Mercedes-Benz com foco na eletrificação, autonomia estimada e comparação com outros modelos de luxo.",,revisao humana exigida por filho: vehicle_entity_needs_review,True,gpt-5-nano,video_taxonomy_v2_classifier_r2,video_taxonomy_v2_output_schema_r2,2026-08-06T17:22:37.219449+00:00,0.78,usable,truncated,low,False
199,49,R3y-lSe0K4s,transcript_90s,transcript_90s,diagnostico,diagnostico,diagnostico__scanner_obd2,,educativo,resolver_problema,0.85,Transcript descreve o uso de um scanner OBD2 (Lauch) para ler a quilometragem do veículo e discute a verificação do KM verdadeiro com a ferramenta.,,revisao humana exigida por filho: technical_context_needs_review,True,gpt-5-nano,video_taxonomy_v2_classifier_r2,video_taxonomy_v2_output_schema_r2,2026-08-06T15:53:31.768515+00:00,0.75,usable,excessive_noise,low,False
221,49,RTZHxSE2t5M,transcript_90s,transcript_90s,pos_venda_reparacao,analise_mercado,pos_venda_reparacao__gargalo_oficinas,,educativo,entender_mercado,0.92,"Video aborda gargalo nas oficinas de reparação causado pelo influxo de carros importados, eletrificados e híbridos; cita ausência de peças e o conceito de nacionalização SKD/CKD, com foco no mercado de reposição e reparo.",,revisao humana exigida por filho: technical_context_needs_review,True,gpt-5-nano,video_taxonomy_v2_classifier_r2,video_taxonomy_v2_output_schema_r2,2026-08-06T17:32:43.955186+00:00,0.85,usable,,none,False
209,49,Sth4l0Kc2NY,transcript_90s,transcript_90s,manutencao_reparo,manutencao_preventiva,manutencao_reparo__manutencao_preventiva__suspensao,,educativo,aprender_manutencao,0.75,"Video discute a pista de provas da Xangan em Chongqing, simulando lombadas e ondulações para representar condições das vias brasileiras e ressaltar a necessidade de calibrar a suspensão.",,revisao humana exigida por filho: technical_context_needs_review,True,gpt-5-nano,video_taxonomy_v2_classifier_r2,video_taxonomy_v2_output_schema_r2,2026-08-06T16:35:09.485487+00:00,0.92,usable,,none,False
223,49,TukIrroE8Z4,transcript_90s,transcript_90s,mercado_produto,educativo,mercado_produto__analise_mercado,,tutorial,decidir_compra,0.6,"Transcript descreve o uso de um galão de reabastecimento com trava, tampa e funil para evitar derramamento e odor de gasolina durante o abastecimento, destacando a praticidade do produto.",,,False,gpt-5-nano,video_taxonomy_v2_classifier_r2,video_taxonomy_v2_output_schema_r2,2026-08-06T17:41:39.186172+00:00,0.85,usable,,none,False
206,49,UMEYwVvLsGM,transcript_90s,transcript_90s,mercado_produto,lancamento,mercado_produto__lancamentos,,noticia,acompanhar_lancamento,0.85,"Transcrição descreve Lotus Evaya (Evija) elétrico com 2.000 cv, 4 motores, aceleração 0-300 km/h em 9s; foco no carro elétrico, uso de carbono e aerodinâmica, com ênfase em lançamento/estreia.",,revisao humana exigida por filho: vehicle_entity_needs_review,True,gpt-5-nano,video_taxonomy_v2_classifier_r2,video_taxonomy_v2_output_schema_r2,2026-08-06T16:23:29.329931+00:00,0.9,usable,,none,False
212,49,UtWYJfldWHA,transcript_90s,transcript_90s,mercado_produto,lancamento,mercado_produto__estreia_marca,,noticia,acompanhar_lancamento,0.75,"Video aborda estreia da Caoa Changan no Brasil com a Uni-T, destacando lançamento de marca chinesa e motor flex/ICE; foco no mercado e lançamento nacional.",,,False,gpt-5-nano,video_taxonomy_v2_classifier_r2,video_taxonomy_v2_output_schema_r2,2026-08-06T16:49:18.125181+00:00,0.8,usable,,none,False
201,49,VzRl2S0RkPc,transcript_90s,transcript_90s,off_road,review,off_road,,review,entender_powertrain,0.78,RAV4 híbrido sendo testado em terreno de terra com 4x4 e capacidades off-road; menciona preço.,,fallback_whisper_medium_failed: topic_path inexistente: off_road__review,True,gpt-5-nano,video_taxonomy_v2_classifier_r2,video_taxonomy_v2_output_schema_r2,2026-08-06T15:59:47.384554+00:00,0.92,usable,,none,False
217,49,Xx1TYZnPYK8,transcript_90s,transcript_90s,review_teste,review,review_teste__review_veiculo,,review,decidir_compra,0.82,"Video de avaliação/ review do Chevrolet Cruze hatchback (segunda geração, 2016/2017) com motor Ecotec 1.4 Turbo; foco na viabilidade de compra e características do veículo.",,,False,gpt-5-nano,video_taxonomy_v2_classifier_r2,video_taxonomy_v2_output_schema_r2,2026-08-06T17:12:32.666362+00:00,0.85,usable,,none,False
225,49,yAytAka2dfg,transcript_90s,transcript_90s,manutencao_reparo,educativo,manutencao_reparo__manutencao_preventiva__alinhamento_balanceamento,,educativo,aprender_manutencao,0.78,"Transcrição descreve alinhamento e geometria de alinhamento, promovendo curso prático de alinhamento de oficina.",,,False,gpt-5-nano,video_taxonomy_v2_classifier_r2,video_taxonomy_v2_output_schema_r2,2026-08-06T17:49:52.237201+00:00,0.8,usable,,none,False
215,49,Yel1puu2qGQ,transcript_90s,transcript_90s,mercado_produto,lancamento,mercado_produto__lancamentos,,noticia,acompanhar_lancamento,0.82,"Video sobre a aparição da Volkswagen Tucã, uma picape protótipo sobre a plataforma MQB; menciona motor 1.5 híbrido leve e o primeiro modelo eletrificado da VW no Brasil.",,revisao humana exigida por filho: vehicle_entity_needs_review; fallback_whisper_medium_failed: validacao:transcript_quality: transcript_quality.quality_score deve ficar entre 0 e 1,True,gpt-5-nano,video_taxonomy_v2_classifier_r2,video_taxonomy_v2_output_schema_r2,2026-08-06T17:03:28.25919+00:00,0.85,usable,,none,False
220,49,z55GnDEg7_U,transcript_90s,transcript_90s,manutencao_reparo,reparo_corretivo,manutencao_reparo__reparo_corretivo__reparo_motor,,educativo,aprender_manutencao,0.92,"Transcrição descreve desmontagem do motor Renault Kwid 2021 com 124 mil km, diagnóstico de falha no motor, carbonização e desgaste no cilindro, bomba de óleo; debate entre reparar o motor existente ou substituir por novo motor.",,"revisao humana exigida por filho: technical_context_needs_review; revisao humana exigida por filho: technical_context_needs_review, vehicle_entity_needs_review",True,gpt-5-nano,video_taxonomy_v2_classifier_r2,video_taxonomy_v2_output_schema_r2,2026-08-06T17:28:05.015999+00:00,0.75,usable,,none,False
198,49,ZspY7eFGJXo,transcript_90s,transcript_90s,mercado_produto,lancamento,mercado_produto__lancamentos__suv,,noticia,entender_mercado,0.85,"Cobertura do lançamento do Ora 5 elétrico da GWM, SUV, com enfoque no posicionamento de mercado e comparação com SUVs a combustão.",,,False,gpt-5-nano,video_taxonomy_v2_classifier_r2,video_taxonomy_v2_output_schema_r2,2026-08-06T15:49:08.870112+00:00,0.75,usable,,none,False
