classification_result_id,context_order,topic_path,topic_path_secondary,automotive_system,component,problem,context_role,compatibility_status,validation_issue,needs_human_review,evidence_text,post_id
167,1,diagnostico,manutencao_reparo__reparo_corretivo__reparo_motor,motor,motor_conjunto,falha_de_motor,primary,needs_review,technical_context sem combinacao compativel na matriz V2; marcado para revisao humana,True,motor falhando; modulo; reset de bateria; aprendiagem pelo scanner; carro melhorou após o reset,BrKVhF-oG80
168,1,off_road__suspensao_off_road,off_road__trilha,suspensao,suspensao,,primary,needs_review,,True,2 polegadas de suspensão; calçuzinho em cima; Ironman Foncell; suspensão elevada; bandeja trocada; bieleta substituída; espaçadores de 50 atrás e 38 na frente,4_qw9-un9D0
168,2,off_road__pneus_off_road,,pneus,pneu,,secondary,needs_review,,True,"pneu é o 33, 12,5; largura aumentada",4_qw9-un9D0
170,1,diagnostico__direcao_puxando,,rodagem_direcao,alinhamento,direcao_puxando,primary,allowed_with_evidence,,False,carro puxando; alinhamento; direcao torta,DWYtJ3UHTXs
171,1,manutencao_reparo__manutencao_preventiva__arrefecimento,,arrefecimento,radiador,sistema_sujo,primary,allowed_with_evidence,,False,"transcrição descreve drenagens, lavagem e uso de água desmineralizada e aditivo para limpeza do sistema de arrefecimento, com 3 drenagens para eliminar espuma",6qSnrkGd70I
172,1,powertrain__eletrico,mercado_produto__lancamentos,powertrain,motor_eletrico,,primary,needs_review,technical_context sem combinacao compativel na matriz V2; marcado para revisao humana,True,100% elétrico; motor elétrico,UMEYwVvLsGM
175,1,manutencao_reparo__manutencao_preventiva__limpeza_componentes,,eletrica_eletronica,bateria_12v,,primary,allowed_with_evidence,,False,"limpeza dos polos da bateria. Com o auxílio de uma escova de ácido e limpa contato, você remove inúmeras impurezas, principalmente os inábris, que impedem a corrente elétrica e dificultam o carregamento da bateria. Para proteger da umidade e formação de inábris, faça aplicação de uma graxa siliconada.",_j1gOOnjgcU
175,2,manutencao_reparo__manutencao_preventiva__limpeza_componentes,,eletrica_eletronica,sonda_lambda,,secondary,allowed_with_evidence,,False,"limpeza da sonda lâmida. Para isso, você pode utilizar um bônus descarbonizante, fazendo aplicação diretamente nos orifícios e removendo toda a carbonização existente sobre ela.",_j1gOOnjgcU
175,3,manutencao_reparo__manutencao_preventiva__limpeza_componentes,,eletrica_eletronica,sensor_maf,consumo_alto,secondary,allowed_with_evidence,,False,"Terceiro, limpeza do sensor MAF. Primeiramente, localize o sensor, que pode estar próximo ao filtro de ar ou no coletor de admissao. E para a limpeza, utilize sempre o limpa contatos. Isso removerá todas as sujeiras que impedem uma boa leitura e causam assim um alto consumo.",_j1gOOnjgcU
175,4,manutencao_reparo__manutencao_preventiva__limpeza_componentes,,motor,vela_ignicao,,secondary,allowed_with_evidence,,False,"Quarto, limpeza e regulagem das velas. Está aí algo que pouca gente faz mais essencial para a durabilidade e a economia de combustível do motor. Onde você poderá utilizar a mesma escova de aço e também o descarbonizante. E ao final do processo, verificar a folga existente do eletrodo. Calibrando assim, se necessário.",_j1gOOnjgcU
176,1,powertrain__hibrido__plug_in,,powertrain,sistema_hibrido_plug_in,,secondary,allowed_with_evidence,,False,na linha Tiggo 7 2027 há versão híbrida plug-in mencionada na conversa,fvt-UH964yA
177,1,powertrain__combustao__flex,,powertrain,motor_flex,,primary,allowed_with_evidence,,False,"carro com motor a combustão, feito no Brasil e que já tem motor flex",UtWYJfldWHA
178,1,powertrain__combustao__turbo,,powertrain,turbo,,primary,needs_review,technical_context sem combinacao compativel na matriz V2; marcado para revisao humana,True,"Motor 1.0 litros turbo flex, rendendo 115 cavalos e cerca de 18 kgfm",5oLUBF-Iu6k
178,2,powertrain__combustao__flex,,powertrain,motor_flex,,secondary,allowed_with_evidence,,False,flex; etanol; gasolina; tropicalizacao,5oLUBF-Iu6k
180,1,powertrain__hibrido__sistema_hibrido,mercado_produto__lancamentos,powertrain,motor_hibrido,,supporting,needs_review,technical_context sem combinacao compativel na matriz V2; marcado para revisao humana,True,transcrição menciona 1.5 híbrido leve e o primeiro veículo eletrificado da VW no Brasil,Yel1puu2qGQ
181,1,mercado_produto__compra_venda__carro_popular,powertrain__eletrico,powertrain,motor_eletrico,,primary,needs_review,technical_context sem combinacao compativel na matriz V2; marcado para revisao humana,True,"É um carro 100% elétrico, uso urbano pra rodar na cidade.",JGzj254Kgs4
181,2,mercado_produto__compra_venda__carro_popular,powertrain__eletrico,analise_mercado,,preco_baixo,secondary,needs_review,technical_context sem combinacao compativel na matriz V2; marcado para revisao humana,True,"Ele custa hoje um pouquinho abaixo dos 5 mil dólares. 100% elétrico, zero quilômetro, 5 mil dólares. Aí eu te pergunto, um carrinho urbano pra você rodar na cidade, pequenininho, zero quilometro, por 40 conto, quase metade de um quid, começa a ficar interessante",JGzj254Kgs4
183,1,powertrain__combustao__turbo,,motor,turbo,,primary,allowed_with_evidence,,False,transcrição menciona motor Ecotec 1.4 Turbo,Xx1TYZnPYK8
184,2,powertrain__eletrico__autonomia,,powertrain,autonomia,,secondary,needs_review,technical_context sem combinacao compativel na matriz V2; marcado para revisao humana,True,Trecho menciona autonomia com relação a baterias e a afirmação de que 'com R$40 você rodava 300 quilômetros' para Dolphin.,nP0q6x1Uqs0
184,3,mercado_produto__mercado_eletrificados,,powertrain,bateria_tracao,,secondary,allowed_with_evidence,,False,"Discussão sobre EVs no Brasil, incluindo o Dolphin e o crescimento de eletrificados.",nP0q6x1Uqs0
185,1,mercado_produto__lancamentos,powertrain__eletrico__autonomia,powertrain,bateria_tracao,,secondary,needs_review,technical_context sem combinacao compativel na matriz V2; marcado para revisao humana,True,Mercedes-Benz lança elétrico de alto desempenho com autonomia citada entre 600 e 700 km; comparação com rivais; foco em lançamento de veículo elétrico de luxo.,PusuX6OzOC0
186,1,pos_venda_reparacao__gargalo_oficinas,,pos_venda_reparacao,,gargalo_de_oficinas,primary,needs_review,technical_context sem combinacao compativel na matriz V2; marcado para revisao humana,True,mecanicos em panico; gargalo; oficinas; reparacao,RTZHxSE2t5M
187,1,manutencao_reparo__manutencao_preventiva__correias_tensores,,motor,correia_dentada,desgaste,primary,allowed_with_evidence,,False,substituição da corredentada; troca da correia dentada durante revisão,4VPqBe4zjpo
187,2,manutencao_reparo__manutencao_preventiva__arrefecimento,,arrefecimento,radiador,sistema_sujo,secondary,allowed_with_evidence,,False,sistema de arrefecimento bastante enfeljado; vazamento de água,4VPqBe4zjpo
187,3,diagnostico__falha_motor,,motor,motor_conjunto,falha_de_motor,primary,allowed_with_evidence,,False,falhando motor,4VPqBe4zjpo
187,4,diagnostico__luz_injecao,,motor,motor_conjunto,falha_de_motor,secondary,allowed_with_evidence,,False,luz da injecao; painel; falha injecao; codigo,4VPqBe4zjpo
190,1,powertrain__combustao__flex,,motor,motor_flex,,primary,needs_review,technical_context sem combinacao compativel na matriz V2; marcado para revisao humana,True,"Aqui em tecnologia de motores, eles estão mostrando novas soluções para o sistema GDI de injeção eletrônica. E aqui o motor A-etanol, eles também têm soluções.",OlnXxCHKisM
192,1,manutencao_reparo__manutencao_preventiva__alinhamento_balanceamento,,rodagem_direcao,alinhamento,,primary,allowed_with_evidence,,False,geometria do alinhamento mencionada na transcrição,yAytAka2dfg
193,1,powertrain__hibrido__plug_in,,powertrain,sistema_hibrido_plug_in,,secondary,allowed_with_evidence,,False,"híbrido plug-in; pode carregar a bateria na tomada; motor a gasolina em vermelho; mantém potência; rodando a 100 km/h; consumo de 20,8 km/l; bateria em 26% durante a condução.",Bcf0ikE2Aac
195,1,review_teste__review_veiculo,,transmissao,cambio_automatico,,primary,allowed_with_evidence,,False,Transcrição destaca o câmbio automático da versão Stepway como ponto de interesse.,FaobcvNYgUc
195,2,mercado_produto__compra_venda,,,,analise_compra_e_valor,secondary,needs_review,technical_context sem combinacao compativel na matriz V2; marcado para revisao humana,True,"O narrador questiona se é boa compra e menciona preço, valor de revenda e compra",FaobcvNYgUc
