classification_result_id,entity_order,vehicle_brand_raw,vehicle_model_raw,vehicle_year,vehicle_generation,evidence_text,entity_status,catalog_row_id,catalog_model_id,catalog_match_level,canonical_manufacturer_name,canonical_model_name,canonical_model_year,match_confidence,match_source,validation_issue,post_id
206,2,Lotus,Evaya,,,Lotus Evaya,not_found,,,not_found,,,,,carrosnaweb_catalog,entidade explicita nao encontrada em v_carrosnaweb_vehicle_catalog,UMEYwVvLsGM
207,1,BYD,Dolphin Mini,,,Testei a autonomia do Byd Dolphin Mini Gs no extremo,matched,,213,model,BYD,Dolphin Mini,,0.9,carrosnaweb_catalog_script:title,,CjFrJg6VCjc
208,1,Toyota,Yaris Cross,2026,,NOVO TOYOTA YARIS CROSS XR EM SUA VERSÃO DE ENTRADA 2026 | MOSTREI OS PONTOS POSITIVOS E NEGATIVOS!!,matched,8042,1362,model_year,Toyota,Yaris Cross,2026,0.98,carrosnaweb_catalog_script:title,,cLH17x4LiCA
210,1,Jeep,Commander,,,"Novo Jeep Commander HÍBRIDO: O que é e como funciona o MHEV? É bom? Gasta menos? Preço, problemas",matched,,749,model,Jeep,Commander,,0.9,carrosnaweb_catalog_script:title,,0YeiiIpSrP0
211,1,,Tiggo 7,2027,,CAOACHERY TIGGO 7 2027 | QUAL VALE MAIS A PENA? | AGORA COM 7 ANOS DE GARANTIA!!,matched,1413,274,model_year,Chery,Tiggo 7,2027,0.98,carrosnaweb_catalog_script:title,,fvt-UH964yA
212,1,Changan,Uni-T,,,"R$ 169.990! Caoa Changan Uni-T estreia NACIONAL, FLEX e é equipado como CARRO DE LUXO",matched,,257,model,Changan,Uni-T,,0.9,carrosnaweb_catalog_script:title,,UtWYJfldWHA
213,1,,Sonic,2027,,SONIC RS 2027,matched,1944,339,model_year,Chevrolet,Sonic,2027,0.98,carrosnaweb_catalog_script:title,,5oLUBF-Iu6k
213,2,,Onix,2027,,", rodovia, gasolina cidade 12.1, rodovia 14,8. Temos semelhanças com Onix, do qual ele deriva, porém aumenta muito a capacidade de mala. Rodas aero 17 com pneu 205 barra 50. E eu n",needs_review,,332,not_found,Chevrolet,Onix,,0.6,carrosnaweb_catalog_script:transcript_90s,ano informado nao existe para o modelo no catalogo,5oLUBF-Iu6k
213,3,,205,2027,,"va, porém aumenta muito a capacidade de mala. Rodas aero 17 com pneu 205 barra 50. E eu não te falei que a altura do solo é de 20 cm, tem uma excelente dinâmica e vai enfrentar tud",needs_review,,1145,not_found,Peugeot,205,,0.6,carrosnaweb_catalog_script:transcript_90s,ano informado nao existe para o modelo no catalogo,5oLUBF-Iu6k
214,1,,Renegade,,,"o carro que é o melhor custo disparado entre os SUVs médios, preço de renegade, um espanco em qualquer outro carro da categoria, porém eu não compraria. E aqui a gente tem o motor",matched,,753,model,Jeep,Renegade,,0.9,carrosnaweb_catalog_script:transcript_90s,,aXbFPJMVGKw
214,2,Changan,Uni-T,2026,,"ACABOU PRA VW, JEEP E TOYOTA! Avaliação Changan Uni-T 2026",matched,1334,257,model_year,Changan,Uni-T,2026,0.98,carrosnaweb_catalog_script:title,,aXbFPJMVGKw
215,1,,Montana,,,"ronúncia, feita aí sobre a plataforma MQB, dimensões aí, ó, próximas da montana, maior que a estrada, menor que a toro, como era esperado. Essa aqui é uma versão, é um protótipo, e",matched,,328,model,Chevrolet,Montana,,0.9,carrosnaweb_catalog_script:transcript_90s,,Yel1puu2qGQ
215,2,,Toro,,,", dimensões aí, ó, próximas da montana, maior que a estrada, menor que a toro, como era esperado. Essa aqui é uma versão, é um protótipo, então muita coisa pode mudar, por exemplo,",matched,,534,model,Fiat,Toro,,0.9,carrosnaweb_catalog_script:transcript_90s,,Yel1puu2qGQ
215,3,Volkswagen,Tucã,,,"Volkswagen Tucã protótipo, apresentada como nova picape, protótipo, plataforma MQB.",not_found,,,not_found,,,,,carrosnaweb_catalog,entidade explicita nao encontrada em v_carrosnaweb_vehicle_catalog,Yel1puu2qGQ
216,1,,Espero,,,"legal, cupê ou sedã, quatro portas, briguem nos comentários, porque eu espero que vocês não brigam, vocês brigam do mesmo jeito.",matched,,405,model,Daewoo,Espero,,0.9,carrosnaweb_catalog_script:transcript_90s,,4FsnWZmuiQ0
216,2,,Civic,,,ÚNICO CARRO MAIS LEGAL QUE UM CIVIC SI,matched,,638,model,Honda,Civic,,0.9,carrosnaweb_catalog_script:title,,4FsnWZmuiQ0
217,1,,Cruze Hatch,,,BOTA QUALQUER SUV PRA MAMAR mas NINGUÉM QUER SABER! GM CRUZE HATCH TURBO! (Avaliação),matched,,312,model,Chevrolet,Cruze Hatch,,0.9,carrosnaweb_catalog_script:title,,Xx1TYZnPYK8
217,2,Chevrolet,Cruze,2016,,Chevrolet Cruze de segunda geração chegou no Brasil em 2016 com modelo 2017,matched,1690,311,model_year,Chevrolet,Cruze,2016,0.98,carrosnaweb_catalog,,Xx1TYZnPYK8
218,1,,Dolphin Mini,2023,,"ncipal, com 40 reais você rodava 300 km. Quase um ano depois surgiu o Dolphin Mini, que é hoje o mais vendido do Brasil, mas que usa o nome Dolphin e não sigo como usa lá fora, jus",needs_review,,213,not_found,BYD,Dolphin Mini,,0.6,carrosnaweb_catalog_script:transcript_90s,ano informado nao existe para o modelo no catalogo,nP0q6x1Uqs0
218,2,Volkswagen,Nivus,2023,,"lphin, um carro elétrico que custava um pouco mais que o Volkswagen Nivus, mas que era mais comprido, mais rápido e o principal, com 40 reais você rodava 300 km. Quase um ano depoi",matched,8364,1397,model_year,Volkswagen,Nivus,2023,0.98,carrosnaweb_catalog_script:transcript_90s,,nP0q6x1Uqs0
218,3,BYD,Dolphin,,,NOVO BYD Dolphin SE,matched,,212,model,BYD,Dolphin,,0.9,carrosnaweb_catalog,,nP0q6x1Uqs0
219,1,Porsche,Cayenne,,,"do esse mesmo passo e a gente viu a Porsche que hoje tem macã elétrico, Cayenne elétrico com o Cayenne também com mais de mil cavalos e com números de 0 a 100 e 0 a 200 que dão inv",matched,,1201,model,Porsche,Cayenne,,0.9,carrosnaweb_catalog_script:transcript_90s,,PusuX6OzOC0
219,2,Porsche,Taycan,,,veja em carros super esportivos de não muito tempo atrás e ainda com o Taycan e a resposta é,matched,,1210,model,Porsche,Taycan,,0.9,carrosnaweb_catalog_script:transcript_90s,,PusuX6OzOC0
219,3,Mercedes-Benz,Classe C,,,Transcrição menciona Mercedes-Benz e Classe C elétrico.,not_found,,,not_found,,,,,carrosnaweb_catalog,entidade explicita nao encontrada em v_carrosnaweb_vehicle_catalog,PusuX6OzOC0
220,1,,Kwid,,,Quanto custa o motor do Kwid ?,matched,,1244,model,Renault,Kwid,,0.9,carrosnaweb_catalog_script:title,,z55GnDEg7_U
220,2,Renault,Quid,2021,,Renault Quid 2021 com 124 mil quilômetros,not_found,,,not_found,,,,,carrosnaweb_catalog,entidade explicita nao encontrada em v_carrosnaweb_vehicle_catalog,z55GnDEg7_U
221,1,Toyota,Yaris Cross,,,"soldado e pintado, porém sem o processo de estamparia, por exemplo, Yaris Cross da Toyota, ele é 100% feito aqui no caso. Claro que tem peças que vem de fora, obviamente, mas o ní",matched,,1362,model,Toyota,Yaris Cross,,0.9,carrosnaweb_catalog_script:transcript_90s,,RTZHxSE2t5M
222,1,,Onix,,,"ONIX COM 140MIL KM, Troca de Correia, Válvula Termostática, Vazamentos e Suspensão",matched,,332,model,Chevrolet,Onix,,0.9,carrosnaweb_catalog_script:title,,4VPqBe4zjpo
