post_id,evaluation_stage,input_evidence_level,automotive_domain,activity_type,topic_path,topic_path_secondary,content_type,audience_intent,vehicle_brand,vehicle_model,year_reference_type,vehicle_year,vehicle_generation,automotive_system,component,problem,confidence_score,evidence_summary,taxonomy_gaps,validation_issues,needs_human_review,model_used,round_id
"fvt-UH964yA","titulo_metadados","titulo_metadados","review_teste","comparacao","review_teste > comparativo","mercado_produto > compra_venda","review","comparar_opcoes","Caoa Chery","Tiggo 7","exact_year","2027","","","","","0.91","Titulo compara versoes do Caoa Chery Tiggo 7 2027 e cita 7 anos de garantia.","comparativo_versoes; garantia","Garantia ainda nao e atributo estruturado.","false","gpt-5.5_exploratorio_chat","amostra_aleatoria_taxonomia_v2_r1"
"fvt-UH964yA","transcricao_90s","transcript_90s","review_teste","comparacao","review_teste > comparativo","mercado_produto > compra_venda","review","comparar_opcoes","Caoa Chery","Tiggo 7","exact_year","2027","","powertrain","sistema_hibrido_plug_in","","0.95","Transcript confirma diferenca entre versoes do Tiggo 7 2027, comenta versao hibrida plug-in ausente e promessa de indicar versao preferida.","comparativo_versoes; garantia; versao_preferida","PHEV e citado como versao ausente; usar contexto com cuidado.","false","gpt-5.5_exploratorio_chat","amostra_aleatoria_taxonomia_v2_r1"
"Yel1puu2qGQ","titulo_metadados","titulo_metadados","mercado_produto","lancamento","mercado_produto > lancamentos","mercado_produto > compra_venda > picape","noticia","acompanhar_lancamento","Volkswagen","","","","","","","","0.84","Titulo de short fala de picape nova da Volkswagen camuflada.","prototipo; flagra; camuflado","Modelo nao esta claro no titulo.","true","gpt-5.5_exploratorio_chat","amostra_aleatoria_taxonomia_v2_r1"
"Yel1puu2qGQ","transcricao_90s","transcript_90s","mercado_produto","lancamento","mercado_produto > lancamentos","mercado_produto > compra_venda > picape","noticia","acompanhar_lancamento","Volkswagen","Tucã","","","","powertrain","motor_15; sistema_hibrido","","0.88","Transcript fala de prototipo da picape Volkswagen Tuca, plataforma MQB, dimensoes proximas de Montana/Strada/Toro e motor 1.5 hibrido leve especulado.","prototipo; flagra; picape_compacta; mhev","Nome do modelo e transcricao podem estar imprecisos; validar entidade antes de canonizar.","true","gpt-5.5_exploratorio_chat","amostra_aleatoria_taxonomia_v2_r1"
"UMEYwVvLsGM","titulo_metadados","titulo_metadados","review_teste","review","review_teste > review_veiculo","powertrain > eletrico","entretenimento","entender_powertrain","Lotus","","","","","powertrain","motor_eletrico","","0.85","Titulo apresenta Lotus com mais de R$30 milhoes, 2000 cv, 4 motores e 0-300 km/h em 9s.","hipercarro_eletrico; desempenho_extremo","Modelo nao aparece claro no titulo.","true","gpt-5.5_exploratorio_chat","amostra_aleatoria_taxonomia_v2_r1"
"UMEYwVvLsGM","transcricao_90s","transcript_90s","review_teste","review","review_teste > review_veiculo","powertrain > eletrico","entretenimento","entender_powertrain","Lotus","Evija","","","","powertrain","motor_eletrico; freio_carbono_ceramica","","0.94","Transcript confirma Lotus Evija, 100% eletrico, 2000 cv, 0-300 em 9s, carbono, aerofolio ativo, rodas de cubo rapido e freio carbono-ceramica.","hipercarro_eletrico; freio_carbono_ceramica; aerodinamica","Freio carbono-ceramica e aerodinamica ficam como lacunas/atributos futuros.","true","gpt-5.5_exploratorio_chat","amostra_aleatoria_taxonomia_v2_r1"
"Sth4l0Kc2NY","titulo_metadados","titulo_metadados","fora_escopo","educativo","fora_escopo > entretenimento_sem_tema_tecnico","","educativo","entender_mercado","","","","","","","","","0.62","Titulo curto 'Asfalto brasileiro na China' e ambiguo; nao cita veiculo especifico.","pista_teste; tropicalizacao","Titulo sozinho nao permite classificar bem.","true","gpt-5.5_exploratorio_chat","amostra_aleatoria_taxonomia_v2_r1"
"Sth4l0Kc2NY","transcricao_90s","transcript_90s","review_teste","avaliacao_tecnica","review_teste > avaliacao_tecnica","","educativo","entender_mercado","Changan","","","","","suspensao","suspensao","","0.89","Transcript explica campo de provas da Changan na China simulando lombadas, ondulacoes, asfalto e paralelepipedo brasileiros para calibrar suspensao.","pista_teste; tropicalizacao; calibracao_suspensao","Nao ha veiculo/modelo; taxonomia carece de rota para engenharia/teste de produto.","true","gpt-5.5_exploratorio_chat","amostra_aleatoria_taxonomia_v2_r1"
"yAytAka2dfg","titulo_metadados","titulo_metadados","pos_venda_reparacao","educativo","pos_venda_reparacao > rede_assistencia","manutencao_reparo > manutencao_preventiva > alinhamento_balanceamento","educativo","aprender_manutencao","","","","","","rodagem_direcao","alinhamento","","0.82","Titulo fala de oficina, alinhamento 3D e geometria veicular como aprendizado profissional.","treinamento_oficina; geometria_veicular","Pode ser B2B/oficina, nao video de manutencao do dono do carro.","true","gpt-5.5_exploratorio_chat","amostra_aleatoria_taxonomia_v2_r1"
"yAytAka2dfg","transcricao_90s","transcript_90s","pos_venda_reparacao","educativo","pos_venda_reparacao > rede_assistencia","manutencao_reparo > manutencao_preventiva > alinhamento_balanceamento","educativo","aprender_manutencao","","","","","","rodagem_direcao","alinhamento","","0.90","Transcript confirma chamada para curso/treinamento de oficina sobre geometria do alinhamento e evolucao da mecanica.","treinamento_oficina; curso_profissional; geometria_veicular","Audience intent pode precisar separar dono do carro vs profissional/oficina.","true","gpt-5.5_exploratorio_chat","amostra_aleatoria_taxonomia_v2_r1"
