"post_id","evaluation_stage","input_evidence_level","input_description_status","niche","sub_niche","sub_sub_niche","content_type","audience_intent","vehicle_brand","vehicle_model","vehicle_year_or_generation","automotive_system","component","problem","confidence_score","evidence_summary","taxonomy_gaps","validation_issues","needs_human_review","model_used","round_id"
"pINW53ErjQI","gpt55_entrega_2_90s_iniciais","sem_evidencia_90s","ausente","","","","","","","","","","","","0.00","Etapa nao classificada porque nao ha transcricao ou evidencia textual dos primeiros 90s versionada no repo.","transcricao_90s_ausente","etapa 2 nao executavel sem evidencia textual; nao usar baseline humano como input","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_r1"
"_j1gOOnjgcU","gpt55_entrega_2_90s_iniciais","sem_evidencia_90s","ausente","","","","","","","","","","","","0.00","Etapa nao classificada porque nao ha transcricao ou evidencia textual dos primeiros 90s versionada no repo.","transcricao_90s_ausente","etapa 2 nao executavel sem evidencia textual; nao usar baseline humano como input","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_r1"
"z55GnDEg7_U","gpt55_entrega_2_90s_iniciais","sem_evidencia_90s","ausente","","","","","","","","","","","","0.00","Etapa nao classificada porque nao ha transcricao ou evidencia textual dos primeiros 90s versionada no repo.","transcricao_90s_ausente","etapa 2 nao executavel sem evidencia textual; nao usar baseline humano como input","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_r1"
"CjFrJg6VCjc","gpt55_entrega_2_90s_iniciais","sem_evidencia_90s","ausente","","","","","","","","","","","","0.00","Etapa nao classificada porque nao ha transcricao ou evidencia textual dos primeiros 90s versionada no repo.","transcricao_90s_ausente","etapa 2 nao executavel sem evidencia textual; nao usar baseline humano como input","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_r1"
"nP0q6x1Uqs0","gpt55_entrega_2_90s_iniciais","sem_evidencia_90s","ausente","","","","","","","","","","","","0.00","Etapa nao classificada porque nao ha transcricao ou evidencia textual dos primeiros 90s versionada no repo.","transcricao_90s_ausente","etapa 2 nao executavel sem evidencia textual; nao usar baseline humano como input","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_r1"
"JGzj254Kgs4","gpt55_entrega_2_90s_iniciais","sem_evidencia_90s","ausente","","","","","","","","","","","","0.00","Etapa nao classificada porque nao ha transcricao ou evidencia textual dos primeiros 90s versionada no repo.","transcricao_90s_ausente","etapa 2 nao executavel sem evidencia textual; nao usar baseline humano como input","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_r1"
"6qSnrkGd70I","gpt55_entrega_2_90s_iniciais","sem_evidencia_90s","ausente","","","","","","","","","","","","0.00","Etapa nao classificada porque nao ha transcricao ou evidencia textual dos primeiros 90s versionada no repo.","transcricao_90s_ausente","etapa 2 nao executavel sem evidencia textual; nao usar baseline humano como input","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_r1"
"aXbFPJMVGKw","gpt55_entrega_2_90s_iniciais","sem_evidencia_90s","ausente","","","","","","","","","","","","0.00","Etapa nao classificada porque nao ha transcricao ou evidencia textual dos primeiros 90s versionada no repo.","transcricao_90s_ausente","etapa 2 nao executavel sem evidencia textual; nao usar baseline humano como input","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_r1"
"RTZHxSE2t5M","gpt55_entrega_2_90s_iniciais","sem_evidencia_90s","ausente","","","","","","","","","","","","0.00","Etapa nao classificada porque nao ha transcricao ou evidencia textual dos primeiros 90s versionada no repo.","transcricao_90s_ausente","etapa 2 nao executavel sem evidencia textual; nao usar baseline humano como input","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_r1"
"UtWYJfldWHA","gpt55_entrega_2_90s_iniciais","sem_evidencia_90s","ausente","","","","","","","","","","","","0.00","Etapa nao classificada porque nao ha transcricao ou evidencia textual dos primeiros 90s versionada no repo.","transcricao_90s_ausente","etapa 2 nao executavel sem evidencia textual; nao usar baseline humano como input","true","gpt-5.5_exploratorio_chat","gpt55_taxonomia_r1"
