classification_result_id,context_order,topic_path,topic_path_secondary,automotive_system,component,problem,context_role,compatibility_status,validation_issue,needs_human_review,evidence_text,post_id
205,1,manutencao_reparo__manutencao_preventiva__arrefecimento,,arrefecimento,radiador,sistema_sujo,primary,allowed_with_evidence,,False,radiador; limpa radiador; drenagem; lavagem,6qSnrkGd70I
205,2,manutencao_reparo__manutencao_preventiva__arrefecimento,,arrefecimento,agua_desmineralizada,sistema_sujo,secondary,allowed_with_evidence,,False,água desmineralizada; água de torneira; lavagem,6qSnrkGd70I
205,3,manutencao_reparo__manutencao_preventiva__arrefecimento,,arrefecimento,aditivo_arrefecimento,fluido_vencido,secondary,allowed_with_evidence,,False,aditivo velho; lavagem; limpar aditivo,6qSnrkGd70I
206,1,powertrain__eletrificados,,powertrain,bateria_tracao,,primary,allowed_with_evidence,,False,100% elétrico; 2.000 cavalos; 0-300 em 9 segundos,UMEYwVvLsGM
207,1,review_teste__teste_autonomia,,powertrain,bateria_tracao,,primary,allowed_with_evidence,,False,Autonomia de 374 km com 100% de carga; 150 km rodados com 50% de bateria; modo Eco ativado e regeneração de bateria alta.,CjFrJg6VCjc
209,1,manutencao_reparo__manutencao_preventiva__suspensao,,suspensao,,,primary,needs_review,technical_context sem combinacao compativel na matriz V2; marcado para revisao humana,True,"Essa pista representa um pedacinho do Brasil na China, esse é o campo de provas da Xangan em Chongqing e ele tem várias condições que são encontradas nas vias brasileiras. Uma dessas condições é a famosa lombada, quebra-molas, lomba. Esses calombos enormes de concreto ou asfalto que são uma berração das nossas vias e que deixam muitos fabricantes de cabelos em pé. É que o tamanho dessas lombadas representa um esforço diferente para a suspensão dos carros e suspensão é algo que tem que ser bem calibradinho. Essa pista também simula ondulações e bandas de asfalto e ainda tem partes de paralelhe pipa do mal encaixado para simular também algumas condições das cidades brasileiras.",Sth4l0Kc2NY
211,1,powertrain__eletrificados,,powertrain,sistema_hibrido_plug_in,,secondary,allowed_with_evidence,,False,hibrido plug-in,fvt-UH964yA
212,1,powertrain__ice,,powertrain,motor_flex,,secondary,allowed_with_evidence,,False,no transcript há menção de motor a combustão flex (carro com motor a combustão e motor flex) para o Uni-T,UtWYJfldWHA
213,1,powertrain__ice,,powertrain,motor_flex,,secondary,allowed_with_evidence,,False,"Motor 1.0 litros turbo flex, 115 cavalos",5oLUBF-Iu6k
213,2,powertrain__transmissao__cambio_automatico,,transmissao,cambio_automatico,,secondary,needs_review,technical_context sem combinacao compativel na matriz V2; marcado para revisao humana,True,câmbio automático de capacidades com conversor de torque,5oLUBF-Iu6k
214,1,powertrain__ice,,powertrain,motor_1_5_turbo,,primary,needs_review,technical_context sem combinacao compativel na matriz V2; marcado para revisao humana,True,motor 1.5 turbo,aXbFPJMVGKw
214,2,powertrain__transmissao__cambio_automatico,,transmissao,cambio,,secondary,allowed_with_evidence,,False,câmbio,aXbFPJMVGKw
214,3,review_teste__review_veiculo,,design_interior,acabamento,,secondary,needs_review,technical_context sem combinacao compativel na matriz V2; marcado para revisao humana,True,acabamento,aXbFPJMVGKw
216,1,powertrain__transmissao__cambio_manual,,transmissao,cambio_manual,,primary,needs_review,technical_context sem combinacao compativel na matriz V2; marcado para revisao humana,True,"agora você aí, que gosta de carro manual esportivo",4FsnWZmuiQ0
217,1,powertrain__ice,,motor,turbo,,secondary,allowed_with_evidence,,False,Ecotec 1.4 Turbo,Xx1TYZnPYK8
218,1,powertrain__eletrificados,,powertrain,bateria_tracao,,primary,allowed_with_evidence,,False,carro elétrico; autonomia 300 km; bateria,nP0q6x1Uqs0
218,3,mercado_produto__analise_mercado,,powertrain,autonomia,,secondary,needs_review,technical_context sem combinacao compativel na matriz V2; marcado para revisao humana,True,autonomia 300 km; mercado de EVs no Brasil,nP0q6x1Uqs0
219,1,powertrain__eletrificados,,powertrain,bateria_tracao,,primary,allowed_with_evidence,,False,"Menção a veículo 100% elétrico, autonomia estimada e recarga; foco em eletrificação",PusuX6OzOC0
220,1,manutencao_reparo__reparo_corretivo__reparo_motor,,motor,motor_conjunto,falha_de_motor,primary,allowed_with_evidence,,False,desmontagem do motor; motor ruim; carbonizacao; folga axial; bomba de óleo com defeito,z55GnDEg7_U
220,2,manutencao_reparo__reparo_corretivo__reparo_motor,,motor,cilindro,desgaste,secondary,needs_review,technical_context sem combinacao compativel na matriz V2; marcado para revisao humana,True,desgaste no cilindro; cilindro que não está queimando direito,z55GnDEg7_U
220,3,manutencao_reparo__reparo_corretivo__troca_motor,,motor,motor_conjunto,falha_de_motor,secondary,allowed_with_evidence,,False,qual compensa mais? trocar o motor; motor ruim; motor novo,z55GnDEg7_U
221,1,pos_venda_reparacao__gargalo_oficinas,,pos_venda_reparacao,oficinas,,primary,needs_review,technical_context sem combinacao compativel na matriz V2; marcado para revisao humana,True,mecanicos em panico; gargalo nas oficinas; reparacao automotiva; carros sem peça,RTZHxSE2t5M
221,2,pos_venda_reparacao__nacionalizacao,,pos_venda_reparacao,nacionalizacao,,secondary,needs_review,technical_context sem combinacao compativel na matriz V2; marcado para revisao humana,True,nacionalizacao; SKD; CKD; Yaris Cross; nacionalizar; conteudo local,RTZHxSE2t5M
221,3,pos_venda_reparacao__skd_ckd,,pos_venda_reparacao,ckd_skd,,secondary,needs_review,technical_context sem combinacao compativel na matriz V2; marcado para revisao humana,True,SKD vs CKD explicacoes; processo de montagem local; nacionalizacao parcial,RTZHxSE2t5M
221,4,mercado_produto__mercado_chineses,,mercado_produto,,,secondary,needs_review,technical_context sem combinacao compativel na matriz V2; marcado para revisao humana,True,carros chineses importados; mercado de carros chineses; Caoa Changan,RTZHxSE2t5M
222,1,manutencao_reparo__manutencao_preventiva__correias_tensores,,motor,correia_dentada,desgaste,primary,allowed_with_evidence,,False,substituição da correia dentada,4VPqBe4zjpo
222,2,manutencao_reparo__manutencao_preventiva__limpeza_componentes,,motor,tbi,,secondary,needs_review,technical_context sem combinacao compativel na matriz V2; marcado para revisao humana,True,TBI sujo,4VPqBe4zjpo
222,3,manutencao_reparo__manutencao_preventiva__arrefecimento,,arrefecimento,radiador,vazamento,secondary,needs_review,technical_context sem combinacao compativel na matriz V2; marcado para revisao humana,True,vazamento,4VPqBe4zjpo
222,4,manutencao_reparo__manutencao_preventiva__freios,,freios,fluido_freio,contaminado,secondary,needs_review,technical_context sem combinacao compativel na matriz V2; marcado para revisao humana,True,fluido de freio contaminado,4VPqBe4zjpo
222,5,diagnostico__scanner_obd2,,eletrica_eletronica,scanner_obd2,falha_de_motor,secondary,needs_review,technical_context sem combinacao compativel na matriz V2; marcado para revisao humana,True,scanner; código de erro; leitura,4VPqBe4zjpo
225,1,manutencao_reparo__manutencao_preventiva__alinhamento_balanceamento,,rodagem_direcao,alinhamento,,primary,allowed_with_evidence,,False,geometria do alinhamento mencionada na transcrição,yAytAka2dfg
