execution_rank,post_id,source_lot,video_type,creator,title,selection_reason
25,ZspY7eFGJXo,batch_3_mvp_novos,long,Quatrorodas,R$ 159.000: GWM Ora 5 eletrico mira em SUVS A COMBUSTAO e poe irmao em risco,novo elegivel; long; mercado/produto eletrico
26,fgjijU3h7Cw,batch_3_mvp_novos,long,CarroChefe,Avaliacao RAM Rampage RT - A MAIS RAPIDA E MAIS ESPORTIVA RAMPAGE,novo elegivel; long; review desempenho/picape
27,DWYtJ3UHTXs,batch_3_mvp_novos,long,canal da mecanica,A TOYOTA NAO VAI GOSTAR DESSE VIDEO.,novo elegivel; long; titulo ambiguo; requer transcricao
28,4_qw9-un9D0,batch_3_mvp_novos,long,bfms,ENCONTREI OS MELHORES PROJETOS DE CAMINHONETE DE PALMAS-TO!!,novo elegivel; long; projetos/caminhonete
29,4VPqBe4zjpo,batch_3_mvp_novos,long,DR Auto Mecanica,"ONIX COM 140MIL KM, Troca de Correia, Valvula Termostatica, Vazamentos e Suspensao",novo elegivel; long; manutencao multi-contexto com modelo
30,FaobcvNYgUc,batch_3_mvp_novos,long,OpiniaoSincera,"Renault SANDERO Stepway Automatico: e BOA COMPRA? Preco, problemas, defeito, avaliacao, review. Vale",novo elegivel; long; review usado com problema/preco/modelo
31,9jdCcUr6KDI,batch_3_mvp_novos,short,canal da mecanica,Erro muito comum nos carros da linha Volkswagen #alinhamento #Volkswagen #carros,novo elegivel; short; diagnostico/manutencao com marca
32,TukIrroE8Z4,batch_3_mvp_novos,short,carroscomtiago,Esse galao de reabastecimento e muito pratico,novo elegivel; short; acessorio/uso pratico
33,Bcf0ikE2Aac,batch_3_mvp_novos,short,Eletricarbr,Proxima Aposta dos Chineses: Super Hibridos,novo elegivel; short; mercado/powertrain hibrido
34,4FsnWZmuiQ0,batch_3_mvp_novos,short,CarroChefe,UNICO CARRO MAIS LEGAL QUE UM CIVIC SI,novo elegivel; short; comparativo/review com entidade veicular
35,ouOjW0d1hxw,batch_3_mvp_novos,short,Eletricarbr,UTI de um Hospital nao pode Parar! Torre de Voo tambem nao! Nobreak! E as Baterias?,novo elegivel; short; possivel fora_escopo ou baterias sem carro
36,OlnXxCHKisM,batch_3_mvp_novos,short,OMecaniconline,Novidades da PHINIA direto do Salao do Automovel de Pequim,novo elegivel; short; produto/fornecedor automotivo
37,XSkI9I7hEIw,batch_3_mvp_novos,short,Autoesporte,JEEP AVENGER: VEJA A LINHA DE PRODUCAO DO SUV QUE CHEGA EM BREVE!,novo elegivel; short; lancamento/producao com marca modelo
38,PusuX6OzOC0,batch_3_mvp_novos,short,Eletricarbr,Mercedes-Benz Lanca Eletrico de 1.153 cv e Ronco de V8 Simulado,novo elegivel; short; powertrain eletrico/feature sonora
39,VzRl2S0RkPc,batch_3_mvp_novos,short,Quatrorodas,HIBRIDO NA TERRA,novo elegivel; short; powertrain hibrido/off-road possivel
40,5oLUBF-Iu6k,batch_3_mvp_novos,short,autoignicao,SONIC RS 2027,novo elegivel; short; produto/modelo com ano
