"topic_path_code","label_pt","parent_code","level","automotive_domain","default_activity_type","description","example_signals","allowed_in_pilot","requires_technical_context","allows_secondary_topic"
"mercado_produto__lancamentos","Lancamentos","mercado_produto","2","mercado_produto","lancamento","Chegada de modelo, marca, versao ou produto ao mercado.","estreia; novo; chegou; nacional; preco","true","false","true"
"mercado_produto__estreia_marca","Estreia de marca","mercado_produto","2","mercado_produto","lancamento","Entrada ou retorno de marca em um mercado.","marca chinesa; estreia no Brasil; chegada de marca","true","false","true"
"mercado_produto__preco_posicionamento","Preco e posicionamento","mercado_produto","2","mercado_produto","analise_mercado","Analise de preco, proposta de valor e posicionamento competitivo.","preco; custo-beneficio; faixa de preco; concorrentes","true","false","true"
"mercado_produto__mercado_eletrificados","Mercado de eletrificados","mercado_produto","2","mercado_produto","analise_mercado","Analise de mercado de eletricos, hibridos ou eletrificados.","eletricos no Brasil; BYD; eletrificados; bateria; garantia","true","true","true"
"mercado_produto__mercado_chineses","Mercado de chineses","mercado_produto","2","mercado_produto","analise_mercado","Analise de marcas ou carros chineses no mercado.","chineses; importados; montadoras chinesas; Caoa Changan","true","false","true"
"mercado_produto__mercado_usados","Mercado de usados","mercado_produto","2","mercado_produto","analise_mercado","Analise de compra, venda ou preco de usados.","usado; seminovo; desvalorizacao; tabela","true","false","true"
"mercado_produto__compra_venda","Compra e venda","mercado_produto","2","mercado_produto","opiniao","Decisao de compra ou venda de veiculo.","vale a pena; compraria; teria; comprar","true","false","true"
"mercado_produto__compra_venda__carro_popular","Carro popular","mercado_produto__compra_venda","3","mercado_produto","opiniao","Compra/venda de carro popular ou de entrada.","popular; barato; zero km acessivel; salario minimo","true","false","true"
"mercado_produto__compra_venda__carro_premium","Carro premium","mercado_produto__compra_venda","3","mercado_produto","opiniao","Compra/venda de carro premium ou luxo.","premium; luxo; equipado; alto padrao","true","false","true"
"mercado_produto__compra_venda__suv","SUV","mercado_produto__compra_venda","3","mercado_produto","opiniao","Compra/venda de SUV.","SUV; utilitario; familiar; medio","true","false","true"
"mercado_produto__compra_venda__picape","Picape","mercado_produto__compra_venda","3","mercado_produto","opiniao","Compra/venda de picape.","picape; cabine dupla; trabalho; carga","true","false","true"
"powertrain","Powertrain","","1","powertrain","analise_mercado","Tipo de propulsao, motorizacao, transmissao, combustivel ou energia.","eletrico; hibrido; flex; diesel; transmissao","true","true","true"
"powertrain__eletrico","Eletrico","powertrain","2","powertrain","analise_mercado","Veiculo ou sistema com propulsao eletrica.","carro eletrico; EV; bateria; recarga","true","true","true"
"powertrain__eletrico__bateria_tracao","Bateria de tracao","powertrain__eletrico","3","powertrain","analise_mercado","Bateria principal de veiculo eletrico/hibrido.","bateria de tracao; garantia bateria; capacidade","true","true","false"
"powertrain__eletrico__autonomia","Autonomia eletrica","powertrain__eletrico","3","powertrain","teste","Autonomia ou alcance de eletrico.","autonomia; carga; km; consumo energia","true","true","false"
"powertrain__eletrico__recarga","Recarga","powertrain__eletrico","3","powertrain","educativo","Recarga de veiculo eletrico.","carregador; tomada; tempo recarga; wallbox","true","true","false"
"powertrain__eletrico__regeneracao","Regeneracao","powertrain__eletrico","3","powertrain","educativo","Regeneracao de energia em eletricos/hibridos.","regeneracao; modo eco; freio regenerativo","true","true","false"
"powertrain__eletrico__garantia_bateria","Garantia de bateria","powertrain__eletrico","3","powertrain","analise_mercado","Garantia, vida util ou risco da bateria de tracao.","garantia bateria; degradacao; vida util","true","true","false"
"powertrain__hibrido","Hibrido","powertrain","2","powertrain","analise_mercado","Veiculo ou sistema hibrido.","hibrido; eletrificado; motor eletrico e combustao","true","true","true"
"powertrain__hibrido__sistema_hibrido","Sistema hibrido","powertrain__hibrido","3","powertrain","educativo","Arquitetura ou funcionamento hibrido.","sistema hibrido; motor eletrico; motor combustao","true","true","false"
"powertrain__hibrido__hibrido_flex","Hibrido flex","powertrain__hibrido","3","powertrain","analise_mercado","Hibrido com motor flex.","hibrido flex; etanol; gasolina; eletrificado","true","true","false"
"powertrain__hibrido__plug_in","Plug-in hybrid","powertrain__hibrido","3","powertrain","analise_mercado","Hibrido plug-in com recarga externa.","PHEV; plug-in; recarga; autonomia eletrica","true","true","false"
"powertrain__combustao","Combustao","powertrain","2","powertrain","analise_mercado","Veiculo ou sistema de combustao interna.","motor combustao; gasolina; etanol; diesel","true","true","true"
"powertrain__combustao__aspirado","Aspirado","powertrain__combustao","3","powertrain","review","Motor aspirado.","motor aspirado; sem turbo; desempenho","true","true","false"
"powertrain__combustao__turbo","Turbo","powertrain__combustao","3","powertrain","review","Motor turbo.","turbo; 1.5 turbo; desempenho; torque","true","true","false"
"powertrain__combustao__flex","Flex","powertrain__combustao","3","powertrain","analise_mercado","Motor flex de combustao.","flex; etanol; gasolina; tropicalizacao","true","true","false"
"powertrain__combustao__diesel","Diesel","powertrain__combustao","3","powertrain","analise_mercado","Motor diesel.","diesel; picape; torque; consumo","true","true","false"
"powertrain__transmissao","Transmissao","powertrain","2","powertrain","review","Sistema de transmissao, cambio e acoplamento.","cambio; transmissao; marcha; dupla embreagem","true","true","true"
"powertrain__transmissao__cambio_manual","Cambio manual","powertrain__transmissao","3","powertrain","review","Transmissao manual contextualizada.","manual; embreagem; marcha","true","true","false"
"powertrain__transmissao__cambio_automatico","Cambio automatico","powertrain__transmissao","3","powertrain","review","Transmissao automatica contextualizada.","automatico; conversor; tranco; marchas","true","true","false"
"powertrain__transmissao__dupla_embreagem","Dupla embreagem","powertrain__transmissao","3","powertrain","review","Transmissao automatizada de dupla embreagem.","dupla embreagem; DCT; automatizado","true","true","false"
"powertrain__transmissao__cvt","CVT","powertrain__transmissao","3","powertrain","review","Transmissao CVT contextualizada.","CVT; variador; simulacao marcha","true","true","false"
"pos_venda_reparacao","Pos-venda e reparacao","","1","pos_venda_reparacao","analise_mercado","Estrutura de reparacao, pecas, oficinas, assistencia ou nacionalizacao.","pecas; oficinas; pos-venda; reparacao; nacionalizacao","true","false","true"
"pos_venda_reparacao__pecas_reposicao","Pecas de reposicao","pos_venda_reparacao","2","pos_venda_reparacao","analise_mercado","Disponibilidade, preco ou risco de pecas.","falta de pecas; reposicao; importado; encalhar oficina","true","false","true"
"pos_venda_reparacao__gargalo_oficinas","Gargalo de oficinas","pos_venda_reparacao","2","pos_venda_reparacao","analise_mercado","Capacidade, conhecimento ou gargalo de oficinas e reparadores.","mecanicos em panico; oficinas; reparacao; carros sem peca","true","false","true"
"pos_venda_reparacao__nacionalizacao","Nacionalizacao","pos_venda_reparacao","2","pos_venda_reparacao","analise_mercado","Localizacao de producao, montagem e pecas com impacto no pos-venda.","nacionalizar; fabricado no Brasil; conteudo local","true","false","true"
"pos_venda_reparacao__skd_ckd","SKD/CKD","pos_venda_reparacao","2","pos_venda_reparacao","educativo","Montagem SKD/CKD e implicacoes de nacionalizacao.","SKD; CKD; semi desmontado; totalmente desmontado","true","false","true"
"pos_venda_reparacao__disponibilidade_pecas","Disponibilidade de pecas","pos_venda_reparacao","2","pos_venda_reparacao","analise_mercado","Risco ou disponibilidade concreta de pecas.","peca disponivel; prazo; estoque; importacao","true","false","true"
"pos_venda_reparacao__rede_assistencia","Rede de assistencia","pos_venda_reparacao","2","pos_venda_reparacao","analise_mercado","Rede autorizada, cobertura ou suporte pos-venda.","assistencia; concessionaria; rede autorizada; garantia","true","false","true"
"off_road","Off-road","","1","off_road","review","Uso fora de estrada, preparacao ou trilha.","4x4; trilha; off-road; lama","true","true","true"
"off_road__preparacao_off_road","Preparacao off-road","off_road","2","off_road","manutencao_preventiva","Preparacao de veiculo para off-road.","lift; snorkel; pneus off-road; protecao","true","true","true"
"off_road__trilha","Trilha","off_road","2","off_road","entretenimento","Uso em trilha ou fora de estrada.","trilha; lama; obstaculo; 4x4","true","true","true"
"off_road__pneus_off_road","Pneus off-road","off_road","2","off_road","review","Pneus voltados para uso off-road.","pneu AT; MT; lama; trilha","true","true","false"
"off_road__suspensao_off_road","Suspensao off-road","off_road","2","off_road","review","Suspensao ou preparacao de suspensao para off-road.","lift; amortecedor; curso; suspensao elevada","true","true","false"
"off_road__4x4","4x4","off_road","2","off_road","review","Sistema 4x4 ou tracao voltada a uso fora de estrada.","4x4; reduzida; bloqueio; tracao","true","true","false"
