classification_result_id,entity_order,vehicle_brand_raw,vehicle_model_raw,vehicle_year,vehicle_generation,evidence_text,entity_status,catalog_row_id,catalog_model_id,catalog_match_level,canonical_manufacturer_name,canonical_model_name,canonical_model_year,match_confidence,match_source,validation_issue,post_id
168,3,,S10,,,"onetes que eu já conheço há muito tempo na internet. Felipe, a S10 Mula Preta tá famosa, né? A S10 Mula Preta deu uma repercussãozinha boa aí, né? Sempre que eu posto ela, a galera",matched,,337,model,Chevrolet,S10,,0.9,carrosnaweb_catalog_script:transcript_90s,,4_qw9-un9D0
168,4,Chevrolet,S-10,,,S10 Mula Preta; S10 Zona,not_found,,,not_found,,,,,carrosnaweb_catalog,entidade explicita nao encontrada em v_carrosnaweb_vehicle_catalog,4_qw9-un9D0
170,1,,SW4,,,"RaiLux SW4 Diamond, carro de meio milhão de reais com 100 quilômetros apenas com problema de alinhamento. Será que es",matched,,1357,model,Toyota,SW4,,0.9,carrosnaweb_catalog_script:transcript_90s,,DWYtJ3UHTXs
172,1,Lotus,Evija,,,"Dá uma olhada nesse carro. Esse aqui é o Lotus Evaya, que a gente lê até Evija, que você vai falar, tá, Matheus, mas que carro é esse? É carro da marca mais luxuosa do grupo Gili,",matched,,872,model,Lotus,Evija,,0.9,carrosnaweb_catalog_script:transcript_90s,,UMEYwVvLsGM
172,2,Lotus,Evaya,,,Esse aqui é o Lotus Evaya,not_found,,,not_found,,,,,carrosnaweb_catalog,entidade explicita nao encontrada em v_carrosnaweb_vehicle_catalog,UMEYwVvLsGM
173,1,Toyota,Yaris Cross,2026,,NOVO TOYOTA YARIS CROSS XR EM SUA VERSÃO DE ENTRADA 2026 | MOSTREI OS PONTOS POSITIVOS E NEGATIVOS!!,matched,8042,1362,model_year,Toyota,Yaris Cross,2026,0.98,carrosnaweb_catalog_script:title,,cLH17x4LiCA
174,1,Jeep,Commander,2027,,Commander híbrida 2027 (Overland/Heavy mencionado no título/transcrição),matched,4390,749,model_year,Jeep,Commander,2027,0.98,carrosnaweb_catalog,,0YeiiIpSrP0
176,1,,Tiggo 7,2027,,CAOACHERY TIGGO 7 2027 | QUAL VALE MAIS A PENA? | AGORA COM 7 ANOS DE GARANTIA!!,matched,1413,274,model_year,Chery,Tiggo 7,2027,0.98,carrosnaweb_catalog_script:title,,fvt-UH964yA
177,1,Changan,Uni-T,,,"R$ 169.990! Caoa Changan Uni-T estreia NACIONAL, FLEX e é equipado como CARRO DE LUXO",matched,,257,model,Changan,Uni-T,,0.9,carrosnaweb_catalog_script:title,,UtWYJfldWHA
178,1,,Sonic,2027,,SONIC RS 2027,matched,1944,339,model_year,Chevrolet,Sonic,2027,0.98,carrosnaweb_catalog_script:title,,5oLUBF-Iu6k
178,2,,Onix,2027,,", rodovia, gasolina cidade 12.1, rodovia 14,8. Temos semelhanças com Onix, do qual ele deriva, porém aumenta muito a capacidade de mala. Rodas aero 17 com pneu 205 barra 50. E eu n",needs_review,,332,not_found,Chevrolet,Onix,,0.6,carrosnaweb_catalog_script:transcript_90s,ano informado nao existe para o modelo no catalogo,5oLUBF-Iu6k
178,3,,205,2027,,"va, porém aumenta muito a capacidade de mala. Rodas aero 17 com pneu 205 barra 50. E eu não te falei que a altura do solo é de 20 cm, tem uma excelente dinâmica e vai enfrentar tud",needs_review,,1145,not_found,Peugeot,205,,0.6,carrosnaweb_catalog_script:transcript_90s,ano informado nao existe para o modelo no catalogo,5oLUBF-Iu6k
178,4,,Sonic RS,2027,,SONIC RS 2027,not_found,,,not_found,,,,,carrosnaweb_catalog,entidade explicita nao encontrada em v_carrosnaweb_vehicle_catalog,5oLUBF-Iu6k
179,1,,Renegade,,,"o carro que é o melhor custo disparado entre os SUVs médios, preço de renegade, um espanco em qualquer outro carro da categoria, porém eu não compraria. E aqui a gente tem o motor",matched,,753,model,Jeep,Renegade,,0.9,carrosnaweb_catalog_script:transcript_90s,,aXbFPJMVGKw
179,2,Changan,Uni-T,2026,,"ACABOU PRA VW, JEEP E TOYOTA! Avaliação Changan Uni-T 2026",matched,1334,257,model_year,Changan,Uni-T,2026,0.98,carrosnaweb_catalog_script:title,,aXbFPJMVGKw
180,1,,Montana,,,"a pronúncia, feita aí sob a plataforma MQP. Dimensões aí, ó, próximas da Montana. Maior que a estrada, menor que a touro, como era esperado. Essa aqui é uma versão, é um protótipo,",matched,,328,model,Chevrolet,Montana,,0.9,carrosnaweb_catalog_script:transcript_90s,,Yel1puu2qGQ
180,2,Volkswagen,Tucã,,,Tucã pickup Volkswagen; protótipo; plataforma MQP,not_found,,,not_found,,,,,carrosnaweb_catalog,entidade explicita nao encontrada em v_carrosnaweb_vehicle_catalog,Yel1puu2qGQ
181,1,Shangan,Lumin,,,Esse é o Shangan Lumin.,not_found,,,not_found,,,,,carrosnaweb_catalog,entidade explicita nao encontrada em v_carrosnaweb_vehicle_catalog,JGzj254Kgs4
182,1,,Espero,,,"legal, cupê ou sedã, quatro portas, briguem nos comentários, porque eu espero que vocês não brigam, vocês brigam do mesmo jeito.",matched,,405,model,Daewoo,Espero,,0.9,carrosnaweb_catalog_script:transcript_90s,,4FsnWZmuiQ0
182,2,,Civic,,,ÚNICO CARRO MAIS LEGAL QUE UM CIVIC SI,matched,,638,model,Honda,Civic,,0.9,carrosnaweb_catalog_script:title,,4FsnWZmuiQ0
183,1,,Cruze Hatch,,,BOTA QUALQUER SUV PRA MAMAR mas NINGUÉM QUER SABER! GM CRUZE HATCH TURBO! (Avaliação),matched,,312,model,Chevrolet,Cruze Hatch,,0.9,carrosnaweb_catalog_script:title,,Xx1TYZnPYK8
183,2,Chevrolet,Cruze,2016,,Chevrolet Cruze hatchback; segunda geração chegou no Brasil em 2016 com modelo 2017; motor Ecotec 1.4 Turbo,matched,1690,311,model_year,Chevrolet,Cruze,2016,0.98,carrosnaweb_catalog,,Xx1TYZnPYK8
184,1,,Dolphin Mini,2023,,"l, com R$40 você rodava 300 quilômetros. Quase um ano depois surgiu o Dolphin Mini, que é hoje o mais endido do Brasil, mas que usa o nome Dolphin e não siga o como usa lá fora, ju",needs_review,,213,not_found,BYD,Dolphin Mini,,0.6,carrosnaweb_catalog_script:transcript_90s,ano informado nao existe para o modelo no catalogo,nP0q6x1Uqs0
184,2,Volkswagen,Nivus,2023,,"lphin, um carro elétrico que custava um pouco mais que o Volkswagen Nivus, mas que era mais cumprido, mais rápido e o principal, com R$40 você rodava 300 quilômetros. Quase um ano",matched,8364,1397,model_year,Volkswagen,Nivus,2023,0.98,carrosnaweb_catalog_script:transcript_90s,,nP0q6x1Uqs0
184,3,BYD,Dolphin,,,NOVO BYD Dolphin SE - R$ 159 MIL,matched,,212,model,BYD,Dolphin,,0.9,carrosnaweb_catalog,,nP0q6x1Uqs0
185,1,Porsche,Cayenne,,,"rçando esse passo e a gente viu a Porsche que hoje tem macan elétrico, Cayenne elétrico com o Cayenne também com mais de 1000 cavalos e com números de 0 a 100 e 0 a 200 que dão inv",matched,,1201,model,Porsche,Cayenne,,0.9,carrosnaweb_catalog_script:transcript_90s,,PusuX6OzOC0
185,2,Porsche,Taycan,,,a em carros super esportivos de não muito tempo atrás e ainda com o Taycan e a resposta é...,matched,,1210,model,Porsche,Taycan,,0.9,carrosnaweb_catalog_script:transcript_90s,,PusuX6OzOC0
185,3,Porsche,Macan,,,"continuam reforçando esse passo e a gente viu a Porsche que hoje tem macan elétrico, Cayenne elétrico com o Cayenne também com mais de 1000 cavalos e com números de 0 a 100 e 0 a",matched,,1206,model,Porsche,Macan,,0.9,carrosnaweb_catalog_script:transcript_90s,,PusuX6OzOC0
185,4,BMW,iX3,,,"mpo e continua reforçando esse mesmo passo, como a BMW lançou o i3 e o ix3 que continuam reforçando esse passo e a gente viu a Porsche que hoje tem macan elétrico, Cayenne elétrico",matched,,208,model,BMW,iX3,,0.9,carrosnaweb_catalog_script:transcript_90s,,PusuX6OzOC0
185,5,Mercedes-Benz,Classe C,,,Mercedes-Benz; Classe C elétrico (referência no texto),not_found,,,not_found,,,,,carrosnaweb_catalog,entidade explicita nao encontrada em v_carrosnaweb_vehicle_catalog,PusuX6OzOC0
186,1,Toyota,Yaris Cross,,,"oldado e pintado, porém sem o processo de estamparia. Por exemplo, o Yaris Cross da Toyota, ele é 100% feito aqui no caso. Claro que tem peças que vêm de fora, obviamente, mas o ní",matched,,1362,model,Toyota,Yaris Cross,,0.9,carrosnaweb_catalog_script:transcript_90s,,RTZHxSE2t5M
187,1,,Onix,,,"ONIX COM 140MIL KM, Troca de Correia, Válvula Termostática, Vazamentos e Suspensão",matched,,332,model,Chevrolet,Onix,,0.9,carrosnaweb_catalog_script:title,,4VPqBe4zjpo
191,1,Jeep,Renegade,,,O Jeep Avenger já está batendo na porta. O irmão do renegade e o carro mais barato da marca já até começou a ser feito aqui na fábrica de Porto Real. E se SUV de,matched,,753,model,Jeep,Renegade,,0.9,carrosnaweb_catalog_script:transcript_90s,,XSkI9I7hEIw
191,2,Jeep,Avenger,,,JEEP AVENGER: VEJA A LINHA DE PRODUÇÃO DO SUV QUE CHEGA EM BREVE! 🇧🇷 #autoesporte #shorts #jeep,matched,,747,model,Jeep,Avenger,,0.9,carrosnaweb_catalog_script:title,,XSkI9I7hEIw
191,3,Volkswagen,Nivus,,,"um all-in para conseguir com diversos modelos como Volkswagen Terra, Nivus, Honda WR-V, Fiat Pulse e Renault Cardian. Nós viemos ver de perto o início da produção em série do Aven",matched,,1397,model,Volkswagen,Nivus,,0.9,carrosnaweb_catalog_script:transcript_90s,,XSkI9I7hEIw
191,4,Fiat,Pulse,,,"ir com diversos modelos como Volkswagen Terra, Nivus, Honda WR-V, Fiat Pulse e Renault Cardian. Nós viemos ver de perto o início da produção em série do Avenger e até participamos",matched,,524,model,Fiat,Pulse,,0.9,carrosnaweb_catalog_script:transcript_90s,,XSkI9I7hEIw
191,5,Honda,WR-V,,,"ra conseguir com diversos modelos como Volkswagen Terra, Nivus, Honda WR-V, Fiat Pulse e Renault Cardian. Nós viemos ver de perto o início da produção em série do Avenger e até par",matched,,649,model,Honda,WR-V,,0.9,carrosnaweb_catalog_script:transcript_90s,,XSkI9I7hEIw
194,1,,T-Cross,,,👀😨 T-CROSS É MELHOR QUE CARRO CHINÊS? OPNIÃO DO MECÂNICO,matched,,1412,model,Volkswagen,T-Cross,,0.9,carrosnaweb_catalog_script:title,,KONPXAjlkn8
195,1,Renault,Sandero,,,"Renault SANDERO Stepway Automático: é BOA COMPRA? Preço, problemas, defeito, avaliação, review. Vale",matched,,1258,model,Renault,Sandero,,0.9,carrosnaweb_catalog_script:title,,FaobcvNYgUc
195,2,Renault,Duster,,,"ns preços e que fizeram muito sucesso. Logo depois chegou o irmão SUV, a Duster, que também fez um bom sucesso e até hoje continua no mercado. Hoje o Sandeiro e o Logan já não exis",matched,,1236,model,Renault,Duster,,0.9,carrosnaweb_catalog_script:transcript_90s,,FaobcvNYgUc
195,3,Renault,Logan,2008,,"qui no mercado brasileiro, um ano após a chegada do seu irmão Sedan, o Logan. Derivados de plataformas Dacia, receberam a nomenclatura de Renault aqui no nosso mercado. Carros mais",matched,7280,1249,model_year,Renault,Logan,2008,0.98,carrosnaweb_catalog_script:transcript_90s,,FaobcvNYgUc
195,4,,2008,2008,,"omprar o seu aventureiro. Vem comigo! A história do Sandeiro começa em 2008 aqui no mercado brasileiro, um ano após a chegada do seu irmão Sedan, o Logan. Derivados de plataformas",matched,6593,1144,model_year,Peugeot,2008,2008,0.98,carrosnaweb_catalog_script:transcript_90s,,FaobcvNYgUc
